Category,Characteristics,Predictors,N total,N control,N expose,Beta,Lower 95%CI,Upper 95%CI,Beta (95%CI),P value,P BFI,Abbreviations,p_star
Movement,Usual walking pace,All Infectious Diseases,497262,315519,79870,-0.00296196397825207,-0.0101060478445363,0.00418211988803214,"-0.00 (-0.01, 0.00)",0.416441663599455,1.0,Any,
Movement,Usual walking pace,Bacterial Infections,497262,370461,49009,-0.0450945021076126,-0.0537255116387228,-0.0364634925765025,"-0.05 (-0.05, -0.04)",1.31749458866994e-24,4.05788333310342e-22,Bacterial,**
Movement,Usual walking pace,Invasive Bacterial Infections,497262,457274,16118,-0.105657981260602,-0.120051338790331,-0.0912646237308727,"-0.11 (-0.12, -0.09)",6.33059183373729e-47,1.94982228479109e-44,Invasive,**
Movement,Usual walking pace,Localised Bacterial Infections,497262,394922,39779,-0.0337666019117826,-0.0432197190113585,-0.0243134848122067,"-0.03 (-0.04, -0.02)",2.54462352295452e-12,7.83744045069992e-10,Localised,**
Movement,Usual walking pace,Bacterial Infections with Sepsis,497262,495558,851,-0.36685043452981,-0.428543463589915,-0.305157405469705,"-0.37 (-0.43, -0.31)",2.19131836044535e-31,6.74926055017168e-29,Sepsis,**
Movement,Usual walking pace,Bacterial Infections without Sepsis,497262,371008,48749,-0.0443011050905774,-0.0529521099818891,-0.0356501001992657,"-0.04 (-0.05, -0.04)",1.05623990101863e-23,3.25321889513738e-21,No-Sepsis,**
Movement,Usual walking pace,Extracellular Bacterial Infections,497262,482695,9193,-0.0113327011145854,-0.030269927556085,0.00760452532691417,"-0.01 (-0.03, 0.01)",0.240830806100326,1.0,Extracellular,
Movement,Usual walking pace,Intracellular Bacterial Infections,497262,492623,1682,-0.0818837367091069,-0.12580053706787,-0.0379669363503441,"-0.08 (-0.13, -0.04)",0.000257810478000471,0.0794056272241451,Intracellular,*
Movement,Usual walking pace,Gram Positive Bacterial Infections,497262,489057,4539,-0.0921149990477233,-0.118921912964526,-0.0653080851309204,"-0.09 (-0.12, -0.07)",1.64194311226139e-11,5.05718478576508e-09,Gram Positive,**
Movement,Usual walking pace,Gram Negative Bacterial Infections,497262,488449,5830,0.0313085010227793,0.0076035532220554,0.0550134488235033,"0.03 (0.01, 0.06)",0.00963573093344455,1.0,Gram Negative,*
Movement,Usual walking pace,Mycobacterial Infections,497262,494103,1153,-0.0682805917200213,-0.121297204712158,-0.0152639787278849,"-0.07 (-0.12, -0.02)",0.0115944542855057,1.0,Mycobacterial,*
Movement,Usual walking pace,Mycoplasma Infections,497262,497154,44,-0.376843392839415,-0.647980724839053,-0.105706060839777,"-0.38 (-0.65, -0.11)",0.00644820626207989,1.0,Mycoplasma,*
Movement,Usual walking pace,Acute Bacterial Infections,497262,374750,47701,-0.0446936785699802,-0.0534267058356372,-0.0359606513043232,"-0.04 (-0.05, -0.04)",1.12422606446105e-23,3.46261627854003e-21,Acute Bacterial,**
Movement,Usual walking pace,Chronic Bacterial Infections,497262,490796,2194,-0.11423045796874,-0.152697265828461,-0.0757636501090199,"-0.11 (-0.15, -0.08)",5.8780374547627e-09,1.81043553606691e-06,Chronic Bacterial,**
Movement,Usual walking pace,Viral Infections,497262,411440,53134,0.0711753471148337,0.0627980857219413,0.0795526085077262,"0.07 (0.06, 0.08)",3.0309027324279e-62,9.33518041587793e-60,Viral,**
Movement,Usual walking pace,Acute Viral Infections,497262,432652,41438,0.0793425844828744,0.0700203749715603,0.0886647939941885,"0.08 (0.07, 0.09)",1.85984959496885e-62,5.72833675250406e-60,Acute Viral,**
Movement,Usual walking pace,Herpes Viral Infections,497262,441475,42910,0.092140681572917,0.0829424577159371,0.101338905429897,"0.09 (0.08, 0.10)",8.65020378548377e-86,2.664262765929e-83,Herpes,**
Movement,Usual walking pace,Other Potentially Persistent Viral Infections,497262,495971,459,-0.271346946984415,-0.355354720926658,-0.187339173042173,"-0.27 (-0.36, -0.19)",2.44192264366968e-10,7.52112174250261e-08,Other Viral,**
Movement,Usual walking pace,Parasitic Infections,497262,492559,1697,0.0894794996931832,0.0457339408498213,0.133225058536545,"0.09 (0.05, 0.13)",6.09789759075279e-05,0.0187815245795186,Parasitic,**
Movement,Usual walking pace,Fungal Infections,497262,470596,8245,-0.0349628992920441,-0.0549469694192855,-0.0149788291648028,"-0.03 (-0.05, -0.01)",0.000605768906469743,0.186576823192681,Fungal,*
Movement,Usual walking pace,Acute Infections,497262,339622,69871,-0.00624072034933172,-0.013724739599039,0.00124329890037557,"-0.01 (-0.01, 0.00)",0.102182884943167,1.0,Acute,
Movement,Usual walking pace,Chronic Infections,497262,432467,45405,0.0760270445305835,0.0670707964900985,0.0849832925710684,"0.08 (0.07, 0.08)",3.87446782624393e-62,1.19333609048313e-59,Chronic,**
