Category,Characteristics,Predictors,N total,N control,N expose,Beta,Lower 95%CI,Upper 95%CI,Beta (95%CI),P value,P BFI,Age group,P interaction,Abbreviations,p_star
Cognition,Symbol digit substitution,All Infectious Diseases,16101,6236,9865,0.0421624683340851,0.0110087506941678,0.0733161859740024,"0.04 (0.01, 0.07)",0.00799165124578153,1,51-60,0.026,Any,*
Cognition,Symbol digit substitution,Bacterial Infections,16101,11188,4913,-0.0144535825251034,-0.0474268558614906,0.0185196908112837,"-0.01 (-0.05, 0.02)",0.390243040654572,1,51-60,0.086,Bacterial,
Cognition,Symbol digit substitution,Invasive Bacterial Infections,16101,14849,1252,0.00908871581852353,-0.0474479983798286,0.0656254300168756,"0.01 (-0.05, 0.07)",0.752687428952564,1,51-60,0.203,Invasive,
Cognition,Symbol digit substitution,Localised Bacterial Infections,16101,11928,4173,-0.0253216868873362,-0.0599792104942269,0.00933583671955464,"-0.03 (-0.06, 0.01)",0.152132243025608,1,51-60,0.031,Localised,
Cognition,Symbol digit substitution,Bacterial Infections with Sepsis,16101,16059,42,-0.189531728883786,-0.486322310213485,0.107258852445913,"-0.19 (-0.49, 0.11)",0.210684446089005,1,51-60,0.754,Sepsis,
Cognition,Symbol digit substitution,Bacterial Infections without Sepsis,16101,11208,4893,-0.016053340361012,-0.0490651516165512,0.0169584708945272,"-0.02 (-0.05, 0.02)",0.340511072395974,1,51-60,0.087,No-Sepsis,
Cognition,Symbol digit substitution,Extracellular Bacterial Infections,16101,15368,733,0.0109353440251072,-0.061772201024706,0.0836428890749204,"0.01 (-0.06, 0.08)",0.768147221135934,1,51-60,0.893,Extracellular,
Cognition,Symbol digit substitution,Intracellular Bacterial Infections,16101,16014,87,-0.0276292713984025,-0.234033867681618,0.178775324884813,"-0.03 (-0.23, 0.18)",0.793031795797088,1,51-60,0.5,Intracellular,
Cognition,Symbol digit substitution,Gram Positive Bacterial Infections,16101,15699,402,0.0293416225481297,-0.0677259966769831,0.126409241773242,"0.03 (-0.07, 0.13)",0.553522167863746,1,51-60,0.699,Gram Positive,
Cognition,Symbol digit substitution,Gram Negative Bacterial Infections,16101,15685,416,-0.0397335994213919,-0.135167270861078,0.0557000720182944,"-0.04 (-0.14, 0.06)",0.414461825850405,1,51-60,0.511,Gram Negative,
Cognition,Symbol digit substitution,Mycobacterial Infections,16101,16068,33,0.381282931195477,0.0465324003347672,0.716033462056186,"0.38 (0.05, 0.72)",0.025590419711583,1,51-60,0.007,Mycobacterial,*
Cognition,Symbol digit substitution,Mycoplasma Infections,16101,16097,4,-0.47315057579075,-1.43331864538938,0.487017493807882,"-0.47 (-1.43, 0.49)",0.334107939235312,1,51-60,0.646,Mycoplasma,
Cognition,Symbol digit substitution,Acute Bacterial Infections,16101,11288,4813,-0.017084942075455,-0.0502501524623928,0.0160802683114828,"-0.02 (-0.05, 0.02)",0.312632868153215,1,51-60,0.039,Acute Bacterial,
Cognition,Symbol digit substitution,Chronic Bacterial Infections,16101,15954,147,0.0509680142640367,-0.108272445570161,0.210208474098234,"0.05 (-0.11, 0.21)",0.530424384149823,1,51-60,0.274,Chronic Bacterial,
Cognition,Symbol digit substitution,Viral Infections,16101,8035,8066,0.0692929679550418,0.0389139221755133,0.0996720137345703,"0.07 (0.04, 0.10)",7.84206166911573e-06,0.00966141997635058,51-60,0.243,Viral,**
Cognition,Symbol digit substitution,Acute Viral Infections,16101,10574,5527,0.0542519278448327,0.0223216043218523,0.0861822513678131,"0.05 (0.02, 0.09)",0.000869254346165655,1,51-60,0.092,Acute Viral,*
Cognition,Symbol digit substitution,Herpes Viral Infections,16101,9026,7075,0.0806355249426478,0.0500066101543098,0.111264439730986,"0.08 (0.05, 0.11)",2.49477483888067e-07,0.000307356260150099,51-60,0.454,Herpes,**
Cognition,Symbol digit substitution,Other Potentially Persistent Viral Infections,16101,16039,62,-0.153378502921543,-0.398135372809124,0.0913783669660388,"-0.15 (-0.40, 0.09)",0.219346052616674,1,51-60,0.517,Other Viral,
Cognition,Symbol digit substitution,Parasitic Infections,16101,15898,203,-0.0817258018228805,-0.217551059436975,0.0540994557912137,"-0.08 (-0.22, 0.05)",0.238258211546978,1,51-60,0.948,Parasitic,
Cognition,Symbol digit substitution,Fungal Infections,16101,15337,764,-0.0241497158411199,-0.095353007212617,0.0470535755303771,"-0.02 (-0.10, 0.05)",0.506186268119241,1,51-60,0.742,Fungal,
Cognition,Symbol digit substitution,Acute Infections,16101,8062,8039,0.0203154825198732,-0.0100305186062367,0.0506614836459832,"0.02 (-0.01, 0.05)",0.18946485036189,1,51-60,0.002,Acute,
Cognition,Symbol digit substitution,Chronic Infections,16101,8860,7241,0.0776924879092699,0.0471570909537204,0.108227884864819,"0.08 (0.05, 0.11)",6.19010942754502e-07,0.000762621481473546,51-60,0.604,Chronic,**
