Category,Characteristics,Predictors,N total,N control,N expose,Beta,Lower 95%CI,Upper 95%CI,Beta (95%CI),P value,P BFI,Age group,P interaction,Abbreviations,p_star
Cognition,Fluid intelligence,All Infectious Diseases,52769,31186,21583,0.0446612007714246,0.0289677744545684,0.0603546270882808,"0.04 (0.03, 0.06)",2.44630496892833e-08,3.0138477217197e-05,51-60,0.084,Any,**
Cognition,Fluid intelligence,Bacterial Infections,52769,38104,14665,0.00739602510677771,-0.00985486398394195,0.0246469141974974,"0.01 (-0.01, 0.02)",0.400732528368055,1,51-60,0.478,Bacterial,
Cognition,Fluid intelligence,Invasive Bacterial Infections,52769,48654,4115,0.00636224892554951,-0.0224117171443823,0.0351362149954813,"0.01 (-0.02, 0.04)",0.664740412353092,1,51-60,0.183,Invasive,
Cognition,Fluid intelligence,Localised Bacterial Infections,52769,40452,12317,0.00525096075979055,-0.013021165216724,0.0235230867363051,"0.01 (-0.01, 0.02)",0.573261272332724,1,51-60,0.587,Localised,
Cognition,Fluid intelligence,Bacterial Infections with Sepsis,52769,52535,234,0.00718150443545014,-0.108833170159979,0.123196179030879,"0.01 (-0.11, 0.12)",0.903431810431042,1,51-60,0.32,Sepsis,
Cognition,Fluid intelligence,Bacterial Infections without Sepsis,52769,38178,14591,0.00764412491740076,-0.00963419594404324,0.0249224457788448,"0.01 (-0.01, 0.02)",0.385874635892958,1,51-60,0.491,No-Sepsis,
Cognition,Fluid intelligence,Extracellular Bacterial Infections,52769,51136,1633,0.109872031838587,0.0653731196724419,0.154370944004732,"0.11 (0.07, 0.15)",1.30567644290477e-06,0.00160859337765868,51-60,0.048,Extracellular,**
Cognition,Fluid intelligence,Intracellular Bacterial Infections,52769,52366,403,-0.155957138725386,-0.244457309872199,-0.0674569675785729,"-0.16 (-0.24, -0.07)",0.000552821979350132,0.681076678559363,51-60,0.077,Intracellular,*
Cognition,Fluid intelligence,Gram Positive Bacterial Infections,52769,51853,916,0.0838621684633912,0.0248524477776058,0.142871889149177,"0.08 (0.02, 0.14)",0.00534670296377456,1,51-60,0.242,Gram Positive,*
Cognition,Fluid intelligence,Gram Negative Bacterial Infections,52769,51758,1011,0.104209694378544,0.0479984610766022,0.160420927680486,"0.10 (0.05, 0.16)",0.000279705248373289,0.344596865995892,51-60,0.083,Gram Negative,*
Cognition,Fluid intelligence,Mycobacterial Infections,52769,52558,211,-0.237068405160564,-0.359158426592891,-0.114978383728237,"-0.24 (-0.36, -0.11)",0.000141478084849386,0.174301000534444,51-60,<0.001,Mycobacterial,*
Cognition,Fluid intelligence,Mycoplasma Infections,52769,52756,13,-0.137374618398271,-0.628296499415004,0.353547262618461,"-0.14 (-0.63, 0.35)",0.583372161511336,1,51-60,0.332,Mycoplasma,
Cognition,Fluid intelligence,Acute Bacterial Infections,52769,38496,14273,0.0130235323986249,-0.00437406721766515,0.030421132014915,"0.01 (-0.00, 0.03)",0.142320084443189,1,51-60,0.465,Acute Bacterial,
Cognition,Fluid intelligence,Chronic Bacterial Infections,52769,52133,636,-0.148191700679246,-0.218844664642481,-0.077538736716012,"-0.15 (-0.22, -0.08)",3.94478741904116e-05,0.0485997810025871,51-60,0.001,Chronic Bacterial,**
Cognition,Fluid intelligence,Viral Infections,52769,41546,11223,0.0856758934875159,0.0667517029614841,0.104600084013548,"0.09 (0.07, 0.10)",7.29885671270966e-19,8.9921914700583e-16,51-60,0.001,Viral,**
Cognition,Fluid intelligence,Acute Viral Infections,52769,44033,8736,0.0904817907687647,0.0696659268307535,0.111297654706776,"0.09 (0.07, 0.11)",1.64106225027792e-17,2.0217886923424e-14,51-60,0.042,Acute Viral,**
Cognition,Fluid intelligence,Herpes Viral Infections,52769,45317,7452,0.11881226161662,0.0965102483905826,0.141114274842657,"0.12 (0.10, 0.14)",1.69177164578313e-25,2.08426266760482e-22,51-60,<0.001,Herpes,**
Cognition,Fluid intelligence,Other Potentially Persistent Viral Infections,52769,52614,155,-0.248769791586608,-0.391410920702244,-0.106128662470971,"-0.25 (-0.39, -0.11)",0.00063059824360342,0.776897036119413,51-60,0.093,Other Viral,*
Cognition,Fluid intelligence,Parasitic Infections,52769,52152,617,0.0105939375639784,-0.061097673116976,0.0822855482449328,"0.01 (-0.06, 0.08)",0.772098623541726,1,51-60,0.335,Parasitic,
Cognition,Fluid intelligence,Fungal Infections,52769,49528,3241,-0.0325406772438146,-0.0646444907886981,-0.000436863698931172,"-0.03 (-0.06, -0.00)",0.0469629840714834,1,51-60,0.441,Fungal,*
Cognition,Fluid intelligence,Acute Infections,52769,33899,18870,0.0457098392944861,0.0296121563360892,0.0618075222528831,"0.05 (0.03, 0.06)",2.62665003781713e-08,3.2360328465907e-05,51-60,0.133,Acute,**
Cognition,Fluid intelligence,Chronic Infections,52769,44353,8416,0.0908914052898975,0.0697349921474471,0.112047818432348,"0.09 (0.07, 0.11)",3.84107954421235e-17,4.73220999846962e-14,51-60,<0.001,Chronic,**
