Category,Characteristics,Predictors,N total,N control,N expose,Beta,Lower 95%CI,Upper 95%CI,Beta (95%CI),P value,P BFI,Age group,P interaction,Abbreviations,p_star
Cognition,Tower rearranging,All Infectious Diseases,10697,4725,5972,0.0303001533941462,-0.0081868719703423,0.0687871787586346,"0.03 (-0.01, 0.07)",0.122807074608151,1,51-60,0.387,Any,
Cognition,Tower rearranging,Bacterial Infections,10697,7510,3187,0.0122558387323872,-0.0295204528783942,0.0540321303431685,"0.01 (-0.03, 0.05)",0.565265241150079,1,51-60,0.296,Bacterial,
Cognition,Tower rearranging,Invasive Bacterial Infections,10697,9908,789,0.0186622463410273,-0.0541812223683198,0.0915057150503744,"0.02 (-0.05, 0.09)",0.615542149122688,1,51-60,0.229,Invasive,
Cognition,Tower rearranging,Localised Bacterial Infections,10697,7972,2725,0.00852052060162728,-0.0353275484643042,0.0523685896675588,"0.01 (-0.04, 0.05)",0.703283724120575,1,51-60,0.513,Localised,
Cognition,Tower rearranging,Bacterial Infections with Sepsis,10697,10676,21,0.0142483292055802,-0.415946507848838,0.444443166259998,"0.01 (-0.42, 0.44)",0.948236822100242,1,51-60,0.891,Sepsis,
Cognition,Tower rearranging,Bacterial Infections without Sepsis,10697,7521,3176,0.0118713415844782,-0.0299471063465857,0.0536897895155422,"0.01 (-0.03, 0.05)",0.577912242028404,1,51-60,0.335,No-Sepsis,
Cognition,Tower rearranging,Extracellular Bacterial Infections,10697,10263,434,0.130908818087332,0.0343450099729931,0.227472626201671,"0.13 (0.03, 0.23)",0.0078870445345081,1,51-60,0.037,Extracellular,*
Cognition,Tower rearranging,Intracellular Bacterial Infections,10697,10636,61,-0.174698759032974,-0.427418257712715,0.0780207396467678,"-0.17 (-0.43, 0.08)",0.175437180886135,1,51-60,0.598,Intracellular,
Cognition,Tower rearranging,Gram Positive Bacterial Infections,10697,10460,237,0.0524210570660158,-0.0769785127691257,0.181820626901157,"0.05 (-0.08, 0.18)",0.427160114870638,1,51-60,0.57,Gram Positive,
Cognition,Tower rearranging,Gram Negative Bacterial Infections,10697,10446,251,0.16790578611372,0.0421501342994889,0.293661437927951,"0.17 (0.04, 0.29)",0.00887816070985398,1,51-60,0.039,Gram Negative,*
Cognition,Tower rearranging,Mycobacterial Infections,10697,10672,25,-0.235415221333081,-0.629892895404376,0.159062452738214,"-0.24 (-0.63, 0.16)",0.242109941729155,1,51-60,0.591,Mycobacterial,
Cognition,Tower rearranging,Mycoplasma Infections,10697,10693,4,0.384100483324024,-0.600255873681572,1.36845684032962,"0.38 (-0.60, 1.37)",0.444363557932013,1,51-60,0.14,Mycoplasma,
Cognition,Tower rearranging,Acute Bacterial Infections,10697,7586,3111,0.00317161955878578,-0.0388981042000699,0.0452413433176414,"0.00 (-0.04, 0.05)",0.88252104054847,1,51-60,0.434,Acute Bacterial,
Cognition,Tower rearranging,Chronic Bacterial Infections,10697,10592,105,0.146641711498072,-0.0466075396928058,0.33989096268895,"0.15 (-0.05, 0.34)",0.136930366613197,1,51-60,0.307,Chronic Bacterial,
Cognition,Tower rearranging,Viral Infections,10697,6114,4583,0.0409579037916967,0.00227456295306446,0.079641244630329,"0.04 (0.00, 0.08)",0.0379692636049628,1,51-60,0.543,Viral,*
Cognition,Tower rearranging,Acute Viral Infections,10697,7382,3315,0.0421419367222608,0.000832757821057295,0.0834511156234643,"0.04 (0.00, 0.08)",0.0455577555257442,1,51-60,0.346,Acute Viral,*
Cognition,Tower rearranging,Herpes Viral Infections,10697,6796,3901,0.0338673337262405,-0.00593854732299427,0.0736732147754753,"0.03 (-0.01, 0.07)",0.0953945818601282,1,51-60,0.959,Herpes,
Cognition,Tower rearranging,Other Potentially Persistent Viral Infections,10697,10656,41,0.0952966448658108,-0.212965790800893,0.403559080532515,"0.10 (-0.21, 0.40)",0.544544587757133,1,51-60,0.115,Other Viral,
Cognition,Tower rearranging,Parasitic Infections,10697,10566,131,-0.0299316265330833,-0.203222989382852,0.143359736316685,"-0.03 (-0.20, 0.14)",0.734939021900344,1,51-60,0.568,Parasitic,
Cognition,Tower rearranging,Fungal Infections,10697,10180,517,0.0365610931692518,-0.0522010488942088,0.125323235232712,"0.04 (-0.05, 0.13)",0.41945407842852,1,51-60,0.391,Fungal,
Cognition,Tower rearranging,Acute Infections,10697,5678,5019,0.0208717653191134,-0.0174138754066104,0.0591574060448371,"0.02 (-0.02, 0.06)",0.285268098946423,1,51-60,0.699,Acute,
Cognition,Tower rearranging,Chronic Infections,10697,6666,4031,0.0395146290043616,2.19877339475844e-05,0.0790072702747757,"0.04 (0.00, 0.08)",0.0498726063644086,1,51-60,0.785,Chronic,*
