Characteristics,Predictors,N total,Event,Non-Event,Controls Event,Controls non-Event,Expose Event,Expose non-Event,HR,Lower 95%CI,Upper 95%CI,HR (95%CI),P value,P BFI,Abbreviations,p_star
Depression,All Infectious Diseases,459367,18940,440427,9890,286291,9050,154136,1.69183254326224,1.64208874697699,1.7430832284251,"1.69 (1.64, 1.74)",2.57458404793373e-261,3.96485943381794e-259,Any,**
Depression,Bacterial Infections,498827,20671,478156,12014,333833,8657,144323,1.74105478143675,1.69126093320608,1.79231465260507,"1.74 (1.69, 1.79)",5.24519873226319e-307,8.07760604768531e-305,Bacterial,**
Depression,Invasive Bacterial Infections,489183,22236,466947,18627,404138,3609,62809,1.87876260302392,1.81016015351525,1.94996498606304,"1.88 (1.81, 1.95)",4.38750784818524e-242,6.75676208620527e-240,Invasive,**
Depression,Localised Bacterial Infections,500782,21442,479340,13731,354356,7711,124984,1.67488473009182,1.62663517406308,1.72456547345384,"1.67 (1.63, 1.72)",4.81450732051743e-262,7.41434127359684e-260,Localised,**
Depression,Bacterial Infections with Sepsis,472763,23219,449544,22565,434392,654,15152,2.44975108138641,2.25767122464916,2.65817285317373,"2.45 (2.26, 2.66)",1.33912875882707e-102,2.06225828859369e-100,Sepsis,**
Depression,Bacterial Infections without Sepsis,497498,20684,476814,12086,334265,8598,142549,1.73483807120671,1.68520910838177,1.78592859386943,"1.73 (1.69, 1.79)",6.29240819724391e-303,9.69030862375562e-301,No-Sepsis,**
Depression,Extracellular Bacterial Infections,470836,22849,447987,21393,424162,1456,23825,2.05362325394003,1.94304210996759,2.17049771978107,"2.05 (1.94, 2.17)",3.19201303556411e-143,4.91570007476873e-141,Extracellular,**
Depression,Intracellular Bacterial Infections,456613,23068,433545,22914,431392,154,2153,1.65128424532967,1.40594230438305,1.93943922903046,"1.65 (1.41, 1.94)",9.86267087425149e-10,1.51885131463473e-07,Intracellular,**
Depression,Gram Positive Bacterial Infections,464691,23069,441622,22254,428944,815,12678,1.98952792805158,1.85021025428526,2.13933598483178,"1.99 (1.85, 2.14)",5.46770001161323e-77,8.42025801788437e-75,Gram Positive,**
Depression,Gram Negative Bacterial Infections,468496,22971,445525,21985,428692,986,16833,2.1096880292511,1.97373458873306,2.2550061219844,"2.11 (1.97, 2.26)",6.13218086286884e-107,9.44355852881801e-105,Gram Negative,**
Depression,Mycobacterial Infections,456297,23097,433200,23053,432564,44,636,1.52910188548849,1.13104016505216,2.06725866017026,"1.53 (1.13, 2.07)",0.00577425175486806,0.889234770249681,Mycobacterial,*
Depression,Mycoplasma Infections,458546,23240,435306,23226,435173,14,133,2.66103095170737,1.58330189115254,4.47235348199454,"2.66 (1.58, 4.47)",0.000220228409246906,0.0339151750240235,Mycoplasma,**
Depression,Acute Bacterial Infections,498872,20836,478036,12360,337428,8476,140608,1.74337618043414,1.6934511500525,1.7947730623413,"1.74 (1.69, 1.79)",1.14581384449702e-307,1.76455332052541e-305,Acute Bacterial,**
Depression,Chronic Bacterial Infections,463572,23046,440526,22411,430264,635,10262,1.46120504689727,1.34808732205574,1.58381445633815,"1.46 (1.35, 1.58)",2.82335585846814e-20,4.34796802204094e-18,Chronic Bacterial,**
Depression,Viral Infections,428768,20752,408016,18247,364010,2505,44006,1.30907156443383,1.25432294027817,1.36620985376319,"1.31 (1.25, 1.37)",4.54984216567125e-35,7.00675693513373e-33,Viral,**
Depression,Acute Viral Infections,435303,21370,413933,19471,381721,1899,32212,1.36252325028418,1.29851971505259,1.42968149504745,"1.36 (1.30, 1.43)",2.07646052662824e-36,3.19774921100749e-34,Acute Viral,**
Depression,Herpes Viral Infections,426183,21408,404775,20536,388196,872,16579,1.17067756922323,1.09249270425415,1.25445777875289,"1.17 (1.09, 1.25)",7.8820982998601e-06,0.00121384313817846,Herpes,**
Depression,Other Potentially Persistent Viral Infections,458866,23212,435654,23096,434325,116,1329,1.63330009792805,1.35165500465682,1.97363173346819,"1.63 (1.35, 1.97)",3.76831181731845e-07,5.80320019867041e-05,Other Viral,**
Depression,Parasitic Infections,457960,23136,434824,22926,431538,210,3286,1.25890608241494,1.09477029898817,1.44765027495367,"1.26 (1.09, 1.45)",0.00123660550189217,0.190437247291394,Parasitic,*
Depression,Fungal Infections,473619,23023,450596,20943,414098,2080,36498,1.33754836813498,1.27736091231313,1.40057177251561,"1.34 (1.28, 1.40)",3.3260609498359e-35,5.12213386274729e-33,Fungal,**
Depression,Acute Infections,469880,19587,450293,10986,307055,8601,143238,1.73254345429866,1.68198486218878,1.78462178139166,"1.73 (1.68, 1.78)",1.20123799462363e-289,1.84990651172039e-287,Acute,**
Depression,Chronic Infections,430795,21153,409642,19498,381284,1655,28358,1.30748713256063,1.24208572043237,1.37633222384727,"1.31 (1.24, 1.38)",1.30871315906648e-24,2.01541826496238e-22,Chronic,**
