Characteristics,Predictors,N total,Event,Non-Event,Controls Event,Controls non-Event,Expose Event,Expose non-Event,HR,Lower 95%CI,Upper 95%CI,HR (95%CI),P value,P BFI,Abbreviations,p_star
AD,All Infectious Diseases,503070,4805,498265,2207,316039,2598,182226,1.44069207402915,1.3603084709499,1.52582572004497,"1.44 (1.36, 1.53)",1.16198521261287e-35,1.78945722742382e-33,Any,**
AD,Bacterial Infections,547926,4926,543000,2518,370997,2408,172003,1.51656752122995,1.43284158426275,1.60518585704852,"1.52 (1.43, 1.61)",7.67618839969186e-47,1.18213301355255e-44,Bacterial,**
AD,Invasive Bacterial Infections,538358,5009,533349,3930,457277,1079,76072,1.6601731998316,1.54957978943611,1.77865965484879,"1.66 (1.55, 1.78)",4.33816940925278e-47,6.68078089024928e-45,Invasive,**
AD,Localised Bacterial Infections,550800,5098,545702,2902,395409,2196,150293,1.51483333884145,1.43196797625423,1.60249396810403,"1.51 (1.43, 1.60)",1.89253534361333e-47,2.91450442916453e-45,Localised,**
AD,Bacterial Infections with Sepsis,518787,5189,513598,4947,495199,242,18399,2.14572068101183,1.88049020521313,2.44836012873572,"2.15 (1.88, 2.45)",8.20644555647833e-30,1.26379261569766e-27,Sepsis,**
AD,Bacterial Infections without Sepsis,546487,4928,541559,2537,371535,2391,170024,1.5111230892496,1.4276867192362,1.59943561854024,"1.51 (1.43, 1.60)",4.70244279074253e-46,7.2417618977435e-44,No-Sepsis,**
AD,Extracellular Bacterial Infections,517256,5161,512095,4681,482409,480,29686,1.84758383824061,1.67845645932595,2.03375310712484,"1.85 (1.68, 2.03)",4.95217497580674e-36,7.62634946274238e-34,Extracellular,**
AD,Intracellular Bacterial Infections,499950,5127,494823,5092,492101,35,2722,1.24820547725302,0.892313424497275,1.74604222089589,"1.25 (0.89, 1.75)",0.195446050951579,1.0,Intracellular,
AD,Gram Positive Bacterial Infections,509633,5175,504458,4947,488566,228,15892,1.7241703345368,1.50686102246998,1.97281852683661,"1.72 (1.51, 1.97)",2.27492075393059e-15,3.50337796105311e-13,Gram Positive,**
AD,Gram Negative Bacterial Infections,514368,5174,509194,4820,488158,354,21036,1.88739137598751,1.68989561451473,2.10796819374845,"1.89 (1.69, 2.11)",1.98330894574251e-29,3.05429577644347e-27,Gram Negative,**
AD,Mycobacterial Infections,499493,5129,494364,5115,493582,14,782,1.65306306377684,0.96862356716557,2.8211346341898,"1.65 (0.97, 2.82)",0.0653191214864603,1.0,Mycobacterial,
AD,Mycoplasma Infections,501970,5191,496779,5191,496608,0,171,1.0,1.0,1.0,"0.00 (0.00, 0.00)",0.0,0.0,Mycoplasma,**
AD,Acute Bacterial Infections,548029,4988,543041,2590,375274,2398,167767,1.53513291612463,1.45086838758691,1.62429141769977,"1.54 (1.45, 1.62)",4.41234333221412e-50,6.79500873160975e-48,Acute Bacterial,**
AD,Chronic Bacterial Infections,508102,5126,502976,4982,490326,144,12650,1.23937332049858,1.04862198217354,1.46482360056941,"1.24 (1.05, 1.46)",0.0118446952746273,1.0,Chronic Bacterial,*
AD,Viral Infections,469983,5073,464910,4399,411173,674,53737,1.09740282394512,1.01146026533804,1.19064781808334,"1.10 (1.01, 1.19)",0.0254943700215052,1.0,Viral,*
AD,Acute Viral Infections,477200,5100,472100,4606,432315,494,39785,1.18463939955638,1.07881480306669,1.30084468899759,"1.18 (1.08, 1.30)",0.000386788909247429,0.0595654920241041,Acute Viral,*
AD,Herpes Viral Infections,466137,5138,460999,4905,441021,233,19978,0.898983671462221,0.788434122148444,1.02503382191713,"0.90 (0.79, 1.03)",0.111690756184751,1.0,Herpes,
AD,Other Potentially Persistent Viral Infections,502381,5191,497190,5178,495413,13,1777,1.06374933797304,0.609067643026588,1.85786039858416,"1.06 (0.61, 1.86)",0.828039861008781,1.0,Other Viral,
AD,Parasitic Infections,501349,5179,496170,5130,492034,49,4136,1.23555742585188,0.929734580795386,1.6419763060461,"1.24 (0.93, 1.64)",0.144886781704466,1.0,Parasitic,
AD,Fungal Infections,519921,5181,514740,4679,470291,502,44449,1.03949722004379,0.947639926245415,1.14025848906553,"1.04 (0.95, 1.14)",0.411853839974289,1.0,Fungal,
AD,Acute Infections,515212,4896,510316,2416,340114,2480,170202,1.51183126932058,1.42832680914639,1.60021766185389,"1.51 (1.43, 1.60)",4.01280414188281e-46,6.17971837849953e-44,Acute,**
AD,Chronic Infections,471748,5068,466680,4662,432069,406,34611,1.02517941674039,0.925965274182688,1.13502402931452,"1.03 (0.93, 1.14)",0.632049812063307,1.0,Chronic,
