Characteristics,Predictors,N total,Event,Non-Event,Controls Event,Controls non-Event,Expose Event,Expose non-Event,HR,Lower 95%CI,Upper 95%CI,HR (95%CI),P value,P BFI,Age group,P interaction,Abbreviations,p_star
PD,All Infectious Diseases,3617,76,3541,36,1946,40,1595,1.25403120334169,0.794692314953372,1.97887185941503,"1.25 (0.79, 1.98)",0.330752952204099,1.0,71-80,0.026,Any,
PD,Bacterial Infections,3696,77,3619,37,2154,40,1465,1.65140603648942,1.04336472170625,2.61379538776614,"1.65 (1.04, 2.61)",0.0322609392586254,1.0,71-80,0.013,Bacterial,*
PD,Invasive Bacterial Infections,3482,78,3404,56,2607,22,797,2.18777318121861,1.30468459108033,3.66858896409291,"2.19 (1.30, 3.67)",0.00299371559351263,1.0,71-80,0.001,Invasive,*
PD,Localised Bacterial Infections,3681,81,3600,45,2334,36,1266,1.5681919441444,1.00609783319564,2.44432091247849,"1.57 (1.01, 2.44)",0.0469435063649987,1.0,71-80,0.089,Localised,*
PD,Bacterial Infections with Sepsis,3171,82,3089,77,2866,5,223,2.76622306354772,1.05853171270371,7.2288717904904,"2.77 (1.06, 7.23)",0.0378916427707362,1.0,71-80,0.017,Sepsis,*
PD,Bacterial Infections without Sepsis,3680,77,3603,37,2158,40,1445,1.67813228859234,1.05982047506864,2.65717453499263,"1.68 (1.06, 2.66)",0.0272624615180531,1.0,71-80,0.012,No-Sepsis,*
PD,Extracellular Bacterial Infections,3227,81,3146,70,2805,11,341,2.47503663593678,1.27072257132975,4.82072679547895,"2.48 (1.27, 4.82)",0.0077141851141176,1.0,71-80,0.01,Extracellular,*
PD,Intracellular Bacterial Infections,2926,79,2847,79,2823,0,24,1.0,1.0,1.0,"0.00 (0.00, 0.00)",0.0,0.0,71-80,0.048,Intracellular,**
PD,Gram Positive Bacterial Infections,3069,82,2987,77,2818,5,169,2.09356707123697,0.828469652501466,5.29050529314348,"2.09 (0.83, 5.29)",0.11825904125837,1.0,71-80,0.046,Gram Positive,
PD,Gram Negative Bacterial Infections,3163,80,3083,73,2842,7,241,2.32221016510409,1.02755833420597,5.24803300347893,"2.32 (1.03, 5.25)",0.0428350822049998,1.0,71-80,0.357,Gram Negative,*
PD,Mycobacterial Infections,2919,80,2839,80,2833,0,6,1.0,1.0,1.0,"0.00 (0.00, 0.00)",5.48872071201719e-200,3.38105195860259e-197,71-80,0.021,Mycobacterial,**
PD,Acute Bacterial Infections,3723,78,3645,37,2188,41,1457,1.75817021917166,1.11452907446258,2.77351447388007,"1.76 (1.11, 2.77)",0.0152585104881596,1.0,71-80,0.011,Acute Bacterial,*
PD,Chronic Bacterial Infections,2977,80,2897,79,2818,1,79,0.56015410427234,0.0754142468241074,4.16065443529492,"0.56 (0.08, 4.16)",0.571077867666992,1.0,71-80,0.024,Chronic Bacterial,
PD,Viral Infections,3108,80,3028,75,2598,5,430,0.514212671867167,0.205431002189801,1.28712155950285,"0.51 (0.21, 1.29)",0.155379337053534,1.0,71-80,0.387,Viral,
PD,Acute Viral Infections,3056,80,2976,78,2679,2,297,0.324419761422449,0.0782123186312011,1.34567269508633,"0.32 (0.08, 1.35)",0.12091935901938,1.0,71-80,0.117,Acute Viral,
PD,Herpes Viral Infections,2981,80,2901,77,2735,3,166,0.734537522301508,0.229678367507527,2.34913447672061,"0.73 (0.23, 2.35)",0.602976694554605,1.0,71-80,0.461,Herpes,
PD,Other Potentially Persistent Viral Infections,2955,82,2873,82,2868,0,5,1.0,1.0,1.0,"0.00 (0.00, 0.00)",1.47687734928123e-120,9.09756447157239e-118,71-80,0.933,Other Viral,**
PD,Parasitic Infections,2955,82,2873,81,2853,1,20,1.40188920869505,0.20556895301985,9.56026347648835,"1.40 (0.21, 9.56)",0.730177619964019,1.0,71-80,0.713,Parasitic,
PD,Fungal Infections,3130,82,3048,76,2710,6,338,0.723925017089361,0.316243202540236,1.65716583363133,"0.72 (0.32, 1.66)",0.444526307091263,1.0,71-80,0.506,Fungal,
PD,Acute Infections,3656,77,3579,36,2070,41,1509,1.56688479107259,0.988929119467379,2.48261265662486,"1.57 (0.99, 2.48)",0.0558052878399695,1.0,71-80,0.046,Acute,
PD,Chronic Infections,3001,78,2923,73,2670,5,253,0.815766537186178,0.323458667410885,2.05737273488295,"0.82 (0.32, 2.06)",0.666152250152653,1.0,71-80,0.168,Chronic,
