Category,Characteristics,Predictors,N total,N control,N expose,Beta,Lower 95%CI,Upper 95%CI,Beta (95%CI),P value,P BFI,Abbreviations,p_star
Cognition,Trail making 2,All Infectious Diseases,82251,30793,51458,0.00522017222825189,-0.00871028621546119,0.019150630671965,"0.01 (-0.01, 0.02)",0.462664591888888,1.0,Any,
Cognition,Trail making 2,Bacterial Infections,82251,54508,27743,-0.0040754033294027,-0.0183394387732022,0.0101886321143968,"-0.00 (-0.02, 0.01)",0.575485674688966,1.0,Bacterial,
Cognition,Trail making 2,Invasive Bacterial Infections,82251,74182,8069,-0.0113241315234575,-0.033955637078136,0.0113073740312211,"-0.01 (-0.03, 0.01)",0.326732710064795,1.0,Invasive,
Cognition,Trail making 2,Localised Bacterial Infections,82251,59057,23194,0.000342677094574775,-0.014649556381629,0.0153349105707785,"0.00 (-0.01, 0.02)",0.964267227846489,1.0,Localised,
Cognition,Trail making 2,Bacterial Infections with Sepsis,82251,81957,294,-0.0238434879777154,-0.136605985159237,0.0889190092038063,"-0.02 (-0.14, 0.09)",0.678554433897449,1.0,Sepsis,
Cognition,Trail making 2,Bacterial Infections without Sepsis,82251,54626,27625,-0.00382338134500664,-0.0181025899519567,0.0104558272619434,"-0.00 (-0.02, 0.01)",0.599720171916383,1.0,No-Sepsis,
Cognition,Trail making 2,Extracellular Bacterial Infections,82251,75865,6386,-0.0128321642061215,-0.0380379817281105,0.0123736533158676,"-0.01 (-0.04, 0.01)",0.318368026912445,1.0,Extracellular,
Cognition,Trail making 2,Intracellular Bacterial Infections,82251,81494,757,0.0770698716637772,0.00659252283479166,0.147547220492763,"0.08 (0.01, 0.15)",0.0320893293384925,1.0,Intracellular,*
Cognition,Trail making 2,Gram Positive Bacterial Infections,82251,79488,2763,-0.0403503920183028,-0.0777151102765712,-0.00298567376003431,"-0.04 (-0.08, -0.00)",0.0342960858895123,1.0,Gram Positive,*
Cognition,Trail making 2,Gram Negative Bacterial Infections,82251,77959,4292,0.0104963085150224,-0.0198215362437163,0.040814153273761,"0.01 (-0.02, 0.04)",0.497414157136696,1.0,Gram Negative,
Cognition,Trail making 2,Mycobacterial Infections,82251,81782,469,0.0557882190000953,-0.0335998338329896,0.14517627183318,"0.06 (-0.03, 0.15)",0.221236367364261,1.0,Mycobacterial,
Cognition,Trail making 2,Mycoplasma Infections,82251,82233,18,-0.053361916833945,-0.508307192926767,0.401583359258877,"-0.05 (-0.51, 0.40)",0.818175077363138,1.0,Mycoplasma,
Cognition,Trail making 2,Acute Bacterial Infections,82251,55035,27216,-0.00558565528063626,-0.019918502412491,0.00874719185121843,"-0.01 (-0.02, 0.01)",0.444971342869644,1.0,Acute Bacterial,
Cognition,Trail making 2,Chronic Bacterial Infections,82251,81358,893,0.0204098999029624,-0.044537273205255,0.0853570730111799,"0.02 (-0.04, 0.09)",0.537938917234825,1.0,Chronic Bacterial,
Cognition,Trail making 2,Viral Infections,82251,40205,42046,0.0102444304425641,-0.00326398819331909,0.0237528490784472,"0.01 (-0.00, 0.02)",0.137175289573378,1.0,Viral,
Cognition,Trail making 2,Acute Viral Infections,82251,49135,33116,-0.00323143611893407,-0.0169920363745196,0.0105291641366514,"-0.00 (-0.02, 0.01)",0.645323640698877,1.0,Acute Viral,
Cognition,Trail making 2,Herpes Viral Infections,82251,46002,36249,0.00472491679815916,-0.00888757861935708,0.0183374122156754,"0.00 (-0.01, 0.02)",0.49630609565555,1.0,Herpes,
Cognition,Trail making 2,Other Potentially Persistent Viral Infections,82251,82045,206,0.0262904031078163,-0.108525790021627,0.161106596237259,"0.03 (-0.11, 0.16)",0.702301616667111,1.0,Other Viral,
Cognition,Trail making 2,Parasitic Infections,82251,81240,1011,0.0149698284992753,-0.0461728118598507,0.0761124688584013,"0.01 (-0.05, 0.08)",0.631318345624844,1.0,Parasitic,
Cognition,Trail making 2,Fungal Infections,82251,78157,4094,-0.021796209370071,-0.052751505733732,0.00915908699359002,"-0.02 (-0.05, 0.01)",0.16756945851765,1.0,Fungal,
Cognition,Trail making 2,Acute Infections,82251,37407,44844,-0.00403204854244409,-0.0175754989720476,0.00951140188715942,"-0.00 (-0.02, 0.01)",0.559549267863045,1.0,Acute,
Cognition,Trail making 2,Chronic Infections,82251,45223,37028,0.00440579056795419,-0.0091720798548664,0.0179836609907748,"0.00 (-0.01, 0.02)",0.524788159989968,1.0,Chronic,
