Category,Characteristics,Predictors,N total,N control,N expose,Beta,Lower 95%CI,Upper 95%CI,Beta (95%CI),P value,P BFI,Abbreviations,p_star
Cognition,Tower rearranging,All Infectious Diseases,41442,18236,23206,-0.00663849405408982,-0.0256745275733417,0.0123975394651621,"-0.01 (-0.03, 0.01)",0.494279491317337,1.0,Any,
Cognition,Tower rearranging,Bacterial Infections,41442,27901,13541,-0.0164605918926908,-0.036615144729162,0.00369396094378038,"-0.02 (-0.04, 0.00)",0.109432127428358,1.0,Bacterial,
Cognition,Tower rearranging,Invasive Bacterial Infections,41442,37625,3817,-0.00701201974228686,-0.0396479404006641,0.0256239009160903,"-0.01 (-0.04, 0.03)",0.673668102809755,1.0,Invasive,
Cognition,Tower rearranging,Localised Bacterial Infections,41442,30050,11392,-0.0105589986933832,-0.0317393442747391,0.0106213468879727,"-0.01 (-0.03, 0.01)",0.328512588387567,1.0,Localised,
Cognition,Tower rearranging,Bacterial Infections with Sepsis,41442,41319,123,-0.0903217595560839,-0.263743320552421,0.0830998014402529,"-0.09 (-0.26, 0.08)",0.307344675871379,1.0,Sepsis,
Cognition,Tower rearranging,Bacterial Infections without Sepsis,41442,27953,13489,-0.0160289654957927,-0.0362037192530429,0.00414578826145751,"-0.02 (-0.04, 0.00)",0.119419042344234,1.0,No-Sepsis,
Cognition,Tower rearranging,Extracellular Bacterial Infections,41442,38728,2714,0.00667470626075621,-0.0315269361359943,0.0448763486575067,"0.01 (-0.03, 0.04)",0.732005854855913,1.0,Extracellular,
Cognition,Tower rearranging,Intracellular Bacterial Infections,41442,41045,397,-0.0613118165329813,-0.1581618564757,0.0355382234097372,"-0.06 (-0.16, 0.04)",0.214683104836578,1.0,Intracellular,
Cognition,Tower rearranging,Gram Positive Bacterial Infections,41442,40228,1214,0.0117775987541003,-0.044189015920969,0.0677442134291696,"0.01 (-0.04, 0.07)",0.679999792562262,1.0,Gram Positive,
Cognition,Tower rearranging,Gram Negative Bacterial Infections,41442,39629,1813,-0.000131097998663698,-0.0463137531908345,0.0460515571935071,"-0.00 (-0.05, 0.05)",0.995560713805846,1.0,Gram Negative,
Cognition,Tower rearranging,Mycobacterial Infections,41442,41201,241,-0.090515420042364,-0.214603784011147,0.033572943926419,"-0.09 (-0.21, 0.03)",0.152803709685533,1.0,Mycobacterial,
Cognition,Tower rearranging,Mycoplasma Infections,41442,41432,10,-0.328037766255154,-0.935308976597875,0.279233444087568,"-0.33 (-0.94, 0.28)",0.289710371878497,1.0,Mycoplasma,
Cognition,Tower rearranging,Acute Bacterial Infections,41442,28191,13251,-0.017312744781773,-0.0375813087761517,0.00295581921260565,"-0.02 (-0.04, 0.00)",0.0941015831642785,1.0,Acute Bacterial,
Cognition,Tower rearranging,Chronic Bacterial Infections,41442,40960,482,-0.00671338827220749,-0.0947255190302804,0.0812987424858655,"-0.01 (-0.09, 0.08)",0.881154725789428,1.0,Chronic Bacterial,
Cognition,Tower rearranging,Viral Infections,41442,23942,17500,0.00143772953805661,-0.0177155609753741,0.0205910200514873,"0.00 (-0.02, 0.02)",0.883031906376827,1.0,Viral,
Cognition,Tower rearranging,Acute Viral Infections,41442,27458,13984,0.00836734765216539,-0.0116310401948591,0.0283657354991899,"0.01 (-0.01, 0.03)",0.412178033637916,1.0,Acute Viral,
Cognition,Tower rearranging,Herpes Viral Infections,41442,27009,14433,0.0018409712700652,-0.0180298272143769,0.0217117697545073,"0.00 (-0.02, 0.02)",0.855905207053852,1.0,Herpes,
Cognition,Tower rearranging,Other Potentially Persistent Viral Infections,41442,41340,102,-0.0609935840631695,-0.251514016561666,0.129526848435327,"-0.06 (-0.25, 0.13)",0.530344798165756,1.0,Other Viral,
Cognition,Tower rearranging,Parasitic Infections,41442,40996,446,-0.054242718970515,-0.1457439638287,0.0372585258876696,"-0.05 (-0.15, 0.04)",0.245275741512903,1.0,Parasitic,
Cognition,Tower rearranging,Fungal Infections,41442,39179,2263,0.010250247826575,-0.0312939442884398,0.0517944399415898,"0.01 (-0.03, 0.05)",0.628673487633503,1.0,Fungal,
Cognition,Tower rearranging,Acute Infections,41442,21016,20426,-0.00426573661254036,-0.0231740008152425,0.0146425275901618,"-0.00 (-0.02, 0.01)",0.658358274815857,1.0,Acute,
Cognition,Tower rearranging,Chronic Infections,41442,26534,14908,0.000983911041715893,-0.018730319231465,0.0206981413148968,"0.00 (-0.02, 0.02)",0.922074065808598,1.0,Chronic,
