Category,Characteristics,Predictors,N total,N control,N expose,Beta,Lower 95%CI,Upper 95%CI,Beta (95%CI),P value,P BFI,Abbreviations,p_star
Cognition,Fluid intelligence,All Infectious Diseases,165284,99379,65905,0.0349342231580635,0.0261522293450522,0.0437162169710747,"0.03 (0.03, 0.04)",6.39293019015855e-15,1.96902249856883e-12,Any,**
Cognition,Fluid intelligence,Bacterial Infections,165284,118969,46315,0.00703492858992181,-0.00255699519111387,0.0166268523709575,"0.01 (-0.00, 0.02)",0.150580316672264,1.0,Bacterial,
Cognition,Fluid intelligence,Invasive Bacterial Infections,165284,151918,13366,-0.00121886089930702,-0.0169962672635285,0.0145585454649144,"-0.00 (-0.02, 0.01)",0.879648293619419,1.0,Invasive,
Cognition,Fluid intelligence,Localised Bacterial Infections,165284,126602,38682,0.00786720673164467,-0.00230718653751149,0.0180416000008008,"0.01 (-0.00, 0.02)",0.129641232068477,1.0,Localised,
Cognition,Fluid intelligence,Bacterial Infections with Sepsis,165284,164511,773,-0.0429228338968904,-0.105892171718049,0.0200465039242678,"-0.04 (-0.11, 0.02)",0.181547015657012,1.0,Sepsis,
Cognition,Fluid intelligence,Bacterial Infections without Sepsis,165284,119224,46060,0.00728598589112076,-0.00232203936370919,0.0168940111459507,"0.01 (-0.00, 0.02)",0.137202613736668,1.0,No-Sepsis,
Cognition,Fluid intelligence,Extracellular Bacterial Infections,165284,160007,5277,0.0862785478534124,0.0618459255839102,0.110711170122915,"0.09 (0.06, 0.11)",4.49322799882971e-12,1.38391422363955e-09,Extracellular,**
Cognition,Fluid intelligence,Intracellular Bacterial Infections,165284,163866,1418,-0.0873512545891227,-0.133910592782177,-0.0407919163960682,"-0.09 (-0.13, -0.04)",0.000235911228952411,0.0726606585173426,Intracellular,*
Cognition,Fluid intelligence,Gram Positive Bacterial Infections,165284,162312,2972,0.0587338739336901,0.02640932760121,0.0910584202661702,"0.06 (0.03, 0.09)",0.000369139223899298,0.113694880960984,Gram Positive,*
Cognition,Fluid intelligence,Gram Negative Bacterial Infections,165284,162090,3194,0.0861100670532963,0.0549082136715622,0.11731192043503,"0.09 (0.05, 0.12)",6.34307601478545e-08,1.95366741255392e-05,Gram Negative,**
Cognition,Fluid intelligence,Mycobacterial Infections,165284,164410,874,-0.0841981175529265,-0.143409227479643,-0.0249870076262095,"-0.08 (-0.14, -0.02)",0.00531903436758169,1.0,Mycobacterial,*
Cognition,Fluid intelligence,Mycoplasma Infections,165284,165237,47,0.109917282489958,-0.144753204513355,0.364587769493271,"0.11 (-0.14, 0.36)",0.397588446973615,1.0,Mycoplasma,
Cognition,Fluid intelligence,Acute Bacterial Infections,165284,120311,44973,0.00834262380539768,-0.00133725709242722,0.0180225047032226,"0.01 (-0.00, 0.02)",0.0911808750393031,1.0,Acute Bacterial,
Cognition,Fluid intelligence,Chronic Bacterial Infections,165284,163121,2163,-0.051160534414815,-0.0889671770841343,-0.0133538917454956,"-0.05 (-0.09, -0.01)",0.00799594918402572,1.0,Chronic Bacterial,*
Cognition,Fluid intelligence,Viral Infections,165284,134026,31258,0.0776551949298582,0.0666304153910964,0.0886799744686199,"0.08 (0.07, 0.09)",2.49629216529616e-43,7.68857986911217e-41,Viral,**
Cognition,Fluid intelligence,Acute Viral Infections,165284,142098,23186,0.0844425421043032,0.0720247634048869,0.0968603208037194,"0.08 (0.07, 0.10)",1.66716945023197e-40,5.13488190671447e-38,Acute Viral,**
Cognition,Fluid intelligence,Herpes Viral Infections,165284,145353,19931,0.114129014063719,0.100845935641899,0.12741209248554,"0.11 (0.10, 0.13)",1.39811809631843e-63,4.30620373666076e-61,Herpes,**
Cognition,Fluid intelligence,Other Potentially Persistent Viral Infections,165284,164848,436,-0.140815231205221,-0.224672996309903,-0.0569574661005384,"-0.14 (-0.22, -0.06)",0.000997728585220781,0.307300404248001,Other Viral,*
Cognition,Fluid intelligence,Parasitic Infections,165284,163456,1828,-0.0188222881726659,-0.0599026299454176,0.0222580536000858,"-0.02 (-0.06, 0.02)",0.369172190560943,1.0,Parasitic,
Cognition,Fluid intelligence,Fungal Infections,165284,154944,10340,-0.0119285088469999,-0.0296682854104528,0.00581126771645289,"-0.01 (-0.03, 0.01)",0.187532018248089,1.0,Fungal,
Cognition,Fluid intelligence,Acute Infections,165284,108196,57088,0.0330344178687462,0.0239895159054388,0.0420793198320536,"0.03 (0.02, 0.04)",8.19801742437037e-13,2.52498936670607e-10,Acute,**
Cognition,Fluid intelligence,Chronic Infections,165284,142245,23039,0.0908586493907807,0.0783955362270476,0.103321762554514,"0.09 (0.08, 0.10)",2.74496139396885e-46,8.45448109342406e-44,Chronic,**
