Characteristics,Predictors,N total,Event,Non-Event,Controls Event,Controls non-Event,Expose Event,Expose non-Event,HR,Lower 95%CI,Upper 95%CI,HR (95%CI),P value,P BFI,Sex group,P interaction,Abbreviations,p_star
Depression,All Infectious Diseases,216334,7352,208982,3646,133606,3706,75376,1.82628800647323,1.74105938434165,1.91568875397617,"1.83 (1.74, 1.92)",1.06823377738881e-134,6.58032006871505e-132,Male,<0.001,Any,**
Depression,Bacterial Infections,236237,8071,228166,4512,157171,3559,70995,1.87794272737419,1.79319540342788,1.96669525281852,"1.88 (1.79, 1.97)",1.33137232248741e-157,8.20125350652244e-155,Male,<0.001,Bacterial,**
Depression,Invasive Bacterial Infections,232017,8607,223410,6928,189139,1679,34271,2.02327874170677,1.91298442048086,2.13993215146702,"2.02 (1.91, 2.14)",4.63946250694348e-134,2.85790890427719e-131,Male,<0.001,Invasive,**
Depression,Localised Bacterial Infections,236346,8384,227962,5297,167810,3087,60152,1.76961550897921,1.68914783399427,1.85391650546934,"1.77 (1.69, 1.85)",1.12039570587678e-127,6.90163754820095e-125,Male,0.002,Localised,**
Depression,Bacterial Infections with Sepsis,222348,9003,213345,8658,204447,345,8898,2.75846554328122,2.46011605484741,3.09299723420638,"2.76 (2.46, 3.09)",1.29995158153789e-67,8.00770174227343e-65,Male,0.004,Sepsis,**
Depression,Bacterial Infections without Sepsis,235574,8075,227499,4541,157409,3534,70090,1.87009094429672,1.78571825286203,1.95845012746858,"1.87 (1.79, 1.96)",1.28957119359542e-155,7.94375855254778e-153,Male,<0.001,No-Sepsis,**
Depression,Extracellular Bacterial Infections,221377,8879,212498,8239,199904,640,12594,2.12903359837513,1.95757521057275,2.31550953369702,"2.13 (1.96, 2.32)",1.21465641066017e-69,7.48228348966662e-67,Male,0.156,Extracellular,**
Depression,Intracellular Bacterial Infections,213191,8940,204251,8872,203024,68,1227,1.6499888683086,1.29724561927457,2.09864903383888,"1.65 (1.30, 2.10)",4.49189141629931e-05,0.0276700511244038,Male,0.857,Intracellular,**
Depression,Gram Positive Bacterial Infections,218067,8938,209129,8539,201843,399,7286,2.09663766993249,1.88904597155285,2.32704210759168,"2.10 (1.89, 2.33)",4.99344413713484e-44,3.07596158847506e-41,Male,0.078,Gram Positive,**
Depression,Gram Negative Bacterial Infections,219612,8930,210682,8522,202091,408,8591,2.17272164497248,1.95744036734185,2.41167977594257,"2.17 (1.96, 2.41)",3.99696139313348e-48,2.46212821817022e-45,Male,0.353,Gram Negative,**
Depression,Mycobacterial Infections,212928,8952,203976,8930,203629,22,347,1.76525604474968,1.15052821974848,2.70843326572772,"1.77 (1.15, 2.71)",0.00926887232050272,1.0,Male,0.284,Mycobacterial,*
Depression,Mycoplasma Infections,213960,9010,204950,9006,204870,4,80,1.59388612994769,0.594429704497332,4.2737988630429,"1.59 (0.59, 4.27)",0.35426328356937,1.0,Male,0.174,Mycoplasma,
Depression,Acute Bacterial Infections,236261,8132,228129,4653,158854,3479,69275,1.8714243983826,1.78703520960921,1.95979869900131,"1.87 (1.79, 1.96)",3.957475371236e-156,2.43780482868138e-153,Male,<0.001,Acute Bacterial,**
Depression,Chronic Bacterial Infections,216586,8940,207646,8661,202523,279,5123,1.58861156594388,1.40789241491761,1.79252809427087,"1.59 (1.41, 1.79)",5.82627753958034e-14,3.58898696438149e-11,Male,0.07,Chronic Bacterial,**
Depression,Viral Infections,199900,8020,191880,7076,171902,944,19978,1.3892769307031,1.29641762925427,1.48878752234653,"1.39 (1.30, 1.49)",1.2187376251519e-20,7.5074237709357e-18,Male,0.026,Viral,**
Depression,Acute Viral Infections,203247,8268,194979,7543,180162,725,14817,1.46661963030653,1.35761041380386,1.58438173288145,"1.47 (1.36, 1.58)",2.51816759780385e-22,1.55119124024717e-19,Male,0.017,Acute Viral,**
Depression,Herpes Viral Infections,198595,8282,190313,7971,183325,311,6988,1.25198999953446,1.11532419373556,1.40540209540719,"1.25 (1.12, 1.41)",0.00013859581654267,0.085375022990285,Male,0.142,Herpes,*
Depression,Other Potentially Persistent Viral Infections,214112,8995,205117,8930,204433,65,684,1.94550486773632,1.50963071426767,2.50722852589935,"1.95 (1.51, 2.51)",2.71277881329998e-07,0.000167107174899279,Male,0.026,Other Viral,**
Depression,Parasitic Infections,213683,8968,204715,8895,203144,73,1571,1.19672242405603,0.947383633837299,1.51168387239049,"1.20 (0.95, 1.51)",0.131930155181642,1.0,Male,0.651,Parasitic,
Depression,Fungal Infections,221766,8923,212843,8020,193785,903,19058,1.34475075238592,1.25350048888325,1.44264370224025,"1.34 (1.25, 1.44)",1.4327328920243e-16,8.82563461486972e-14,Male,0.791,Fungal,**
Depression,Acute Infections,221850,7610,214240,4096,144114,3514,70126,1.87811677507344,1.79150484336051,1.96891603943179,"1.88 (1.79, 1.97)",6.79538761363544e-151,4.18595876999943e-148,Male,<0.001,Acute,**
Depression,Chronic Infections,201071,8195,192876,7539,180021,656,12855,1.42994270767368,1.31797371146049,1.55142407579838,"1.43 (1.32, 1.55)",8.21714441012027e-18,5.06176095663409e-15,Male,0.004,Chronic,**
