Characteristics,Predictors,N total,Event,Non-Event,Controls Event,Controls non-Event,Expose Event,Expose non-Event,HR,Lower 95%CI,Upper 95%CI,HR (95%CI),P value,P BFI,Sex group,P interaction,Abbreviations,p_star
Anxiety,All Infectious Diseases,257953,15109,242844,8084,159708,7025,83136,1.64126575140944,1.58743508038312,1.69692184583667,"1.64 (1.59, 1.70)",2.0046612184517e-186,1.23487131056625e-183,Female,0.344,Any,**
Anxiety,Bacterial Infections,279042,16414,262628,9841,184886,6573,77742,1.64694914343462,1.59412697650889,1.70152159836113,"1.65 (1.59, 1.70)",1.05241186347347e-197,6.48285707899661e-195,Female,0.046,Bacterial,**
Anxiety,Invasive Bacterial Infections,273725,17640,256085,15265,225184,2375,30901,1.65806376342525,1.58584688513876,1.73356928045631,"1.66 (1.59, 1.73)",1.00967392170138e-109,6.21959135768047e-107,Female,0.146,Invasive,**
Anxiety,Localised Bacterial Infections,281368,16998,264370,11024,195466,5974,68904,1.6109614762788,1.55898237066441,1.66467365307559,"1.61 (1.56, 1.66)",1.35630522650467e-178,8.35484019526877e-176,Female,0.163,Localised,**
Anxiety,Bacterial Infections with Sepsis,266505,18401,248104,18017,241295,384,6809,2.04530077565882,1.84367920445381,2.26897133341038,"2.05 (1.84, 2.27)",1.30387621554164e-41,8.03187748773653e-39,Female,0.334,Sepsis,**
Anxiety,Bacterial Infections without Sepsis,278361,16417,261944,9888,185093,6529,76851,1.64309689025307,1.59034815361222,1.69759519928214,"1.64 (1.59, 1.70)",1.69189523518208e-195,1.04220746487216e-192,Female,0.059,No-Sepsis,**
Anxiety,Extracellular Bacterial Infections,265542,18090,247452,17101,235153,989,12299,1.85338319191684,1.73510560149076,1.97972345494624,"1.85 (1.74, 1.98)",4.07838254789155e-75,2.51228364950119e-72,Female,0.681,Extracellular,**
Anxiety,Intracellular Bacterial Infections,258890,18271,240619,18182,239574,89,1045,1.37763777366204,1.11682758269257,1.69935437200152,"1.38 (1.12, 1.70)",0.00277334302549184,1.0,Female,0.314,Intracellular,*
Anxiety,Gram Positive Bacterial Infections,262460,18271,244189,17804,238151,467,6038,1.60249208266283,1.45952580543745,1.75946246748777,"1.60 (1.46, 1.76)",4.58255725922008e-23,2.82285527167957e-20,Female,0.172,Gram Positive,**
Anxiety,Gram Negative Bacterial Infections,264878,18198,246680,17476,237727,722,8953,2.01595742520205,1.86718102739691,2.17658827965553,"2.02 (1.87, 2.18)",7.68576810060277e-72,4.73443314997131e-69,Female,0.558,Gram Negative,**
Anxiety,Mycobacterial Infections,258788,18294,240494,18266,240183,28,311,1.42845166259135,0.982976014585762,2.07581275848309,"1.43 (0.98, 2.08)",0.0614944406630547,1.0,Female,0.96,Mycobacterial,
Anxiety,Mycoplasma Infections,260116,18413,241703,18407,241640,6,63,1.53613526332226,0.688876532518457,3.42544917097889,"1.54 (0.69, 3.43)",0.294124152176572,1.0,Female,0.166,Mycoplasma,
Anxiety,Acute Bacterial Infections,279152,16543,262609,10163,186839,6380,75770,1.61880189851394,1.56672862681227,1.67260592663336,"1.62 (1.57, 1.67)",2.51473467421484e-183,1.54907655931634e-180,Female,0.045,Acute Bacterial,**
Anxiety,Chronic Bacterial Infections,262631,18260,244371,17730,239000,530,5371,1.74755176297486,1.60087023135316,1.90767315455367,"1.75 (1.60, 1.91)",9.62515071483102e-36,5.92909284033591e-33,Female,0.674,Chronic Bacterial,**
Anxiety,Viral Infections,243353,16479,226874,14282,201428,2197,25446,1.37766217580469,1.31602719498092,1.44218377696246,"1.38 (1.32, 1.44)",7.75826717626281e-43,4.77909258057789e-40,Female,0.631,Viral,**
Anxiety,Acute Viral Infections,246778,16947,229831,15311,211383,1636,18448,1.43369067189541,1.36137771637292,1.50984470948757,"1.43 (1.36, 1.51)",2.22799479583115e-42,1.37244479423199e-39,Female,0.824,Acute Viral,**
Anxiety,Herpes Viral Infections,241854,16958,224896,16168,214764,790,10132,1.1734328630522,1.09150006112215,1.2615159019554,"1.17 (1.09, 1.26)",1.48585636208413e-05,0.00915287519043823,Female,0.722,Herpes,**
Anxiety,Other Potentially Persistent Viral Infections,260313,18403,241910,18328,241188,75,722,1.61730639274837,1.28691716858417,2.03251618043329,"1.62 (1.29, 2.03)",3.73122370457082e-05,0.0229843380201562,Female,0.141,Other Viral,**
Anxiety,Parasitic Infections,259761,18336,241425,18169,239541,167,1884,1.25191265163969,1.07359015774779,1.45985437368709,"1.25 (1.07, 1.46)",0.00416134845031902,1.0,Female,0.972,Parasitic,*
Anxiety,Fungal Infections,267987,18241,249746,16661,231158,1580,18588,1.35407908518358,1.28500718432289,1.42686374932429,"1.35 (1.29, 1.43)",7.65934049268367e-30,4.71815374349314e-27,Female,0.815,Fungal,**
Anxiety,Acute Infections,263460,15596,247864,9032,170384,6564,77480,1.62704907008532,1.57398087914512,1.68190650314846,"1.63 (1.57, 1.68)",4.93996752702618e-182,3.04301999664813e-179,Female,0.085,Acute,**
Anxiety,Chronic Infections,244067,16773,227294,15360,210937,1413,16357,1.36767485128595,1.29405396146308,1.4454841564143,"1.37 (1.29, 1.45)",1.38759397777862e-28,8.54757890311627e-26,Female,0.362,Chronic,**
