Characteristics,Predictors,N total,Event,Non-Event,Controls Event,Controls non-Event,Expose Event,Expose non-Event,HR,Lower 95%CI,Upper 95%CI,HR (95%CI),P value,P BFI,Sex group,P interaction,Abbreviations,p_star
ACD,All Infectious Diseases,270688,5113,265575,2332,170943,2781,94632,1.54246494100978,1.45867763106313,1.63106504383033,"1.54 (1.46, 1.63)",3.10937714670468e-52,1.91537632237008e-49,Female,0.018,Any,**
ACD,Bacterial Infections,293535,5233,288302,2647,199403,2586,88899,1.62328587872041,1.5359078531835,1.71563485308794,"1.62 (1.54, 1.72)",5.23696235301149e-66,3.22596880945508e-63,Female,0.01,Bacterial,**
ACD,Invasive Bacterial Infections,288191,5327,282864,4164,247795,1163,35069,1.96851213730015,1.8409635572792,2.10489774193305,"1.97 (1.84, 2.10)",2.173924217777e-87,1.33913731815063e-84,Female,0.085,Invasive,**
ACD,Localised Bacterial Infections,296115,5379,290736,2977,211438,2402,79298,1.63832207735332,1.55088689597019,1.73068663879851,"1.64 (1.55, 1.73)",1.17472252759385e-69,7.2362907699781e-67,Female,0.212,Localised,**
ACD,Bacterial Infections with Sepsis,279949,5485,274464,5227,266876,258,7588,2.8749335851546,2.52247740326494,3.27663712997067,"2.87 (2.52, 3.28)",2.07707337688822e-56,1.27947720016315e-53,Female,0.739,Sepsis,**
ACD,Bacterial Infections without Sepsis,292815,5234,287581,2665,199657,2569,87924,1.61612461325325,1.5291430811976,1.70805387519225,"1.62 (1.53, 1.71)",7.38782512512575e-65,4.55090027707746e-62,Female,0.014,No-Sepsis,**
ACD,Extracellular Bacterial Infections,279218,5454,273764,4857,259697,597,14067,2.45863694295734,2.24967912999864,2.68700346492447,"2.46 (2.25, 2.69)",1.07031653183441e-87,6.59314983609998e-85,Female,0.155,Extracellular,**
ACD,Intracellular Bacterial Infections,271694,5433,266261,5392,265060,41,1201,1.52516106388111,1.12054431740479,2.07588065429335,"1.53 (1.12, 2.08)",0.00728440895750176,1.0,Female,0.341,Intracellular,*
ACD,Gram Positive Bacterial Infections,275667,5470,270197,5222,263295,248,6902,2.12374733000007,1.86381430885444,2.41993137420142,"2.12 (1.86, 2.42)",1.21147357732011e-29,7.46267723629189e-27,Female,0.977,Gram Positive,**
ACD,Gram Negative Bacterial Infections,278438,5465,272973,4986,262686,479,10287,2.62240680244758,2.37509419919141,2.89547144692812,"2.62 (2.38, 2.90)",3.99289598995885e-81,2.45962392981465e-78,Female,0.23,Gram Negative,**
ACD,Mycobacterial Infections,271583,5438,266145,5424,265793,14,352,1.76288502721879,1.03757294060046,2.99522423685576,"1.76 (1.04, 3.00)",0.0360514774363931,1.0,Female,0.255,Mycobacterial,*
ACD,Mycoplasma Infections,272962,5487,267475,5485,267400,2,75,1.97516888170733,0.560671269755879,6.95825222677035,"1.98 (0.56, 6.96)",0.289424223118936,1.0,Female,0.48,Mycoplasma,
ACD,Acute Bacterial Infections,293593,5284,288309,2721,201722,2563,86587,1.62835370181033,1.54110434991928,1.72054266042288,"1.63 (1.54, 1.72)",1.88104915798466e-67,1.15872628131855e-64,Female,0.006,Acute Bacterial,**
ACD,Chronic Bacterial Infections,276019,5435,270584,5289,264065,146,6519,1.32788287952958,1.12462155800936,1.56788115005447,"1.33 (1.12, 1.57)",0.000821358926257425,0.505957098574574,Female,0.266,Chronic Bacterial,*
ACD,Viral Infections,255566,5368,250198,4602,220239,766,29959,1.1478265060573,1.06327026629452,1.23910705469006,"1.15 (1.06, 1.24)",0.000413471544553874,0.254698471445186,Female,0.247,Viral,*
ACD,Acute Viral Infections,259184,5397,253787,4841,231847,556,21940,1.23554466462225,1.13144884388638,1.3492175333645,"1.24 (1.13, 1.35)",2.47512017279298e-06,0.00152467402644048,Female,0.343,Acute Viral,**
ACD,Herpes Viral Infections,253665,5432,248233,5140,236455,292,11778,0.996698856996094,0.886366434983932,1.12076515121574,"1.00 (0.89, 1.12)",0.955946138197353,1.0,Female,0.992,Herpes,
ACD,Other Potentially Persistent Viral Infections,273187,5487,267700,5474,266844,13,856,1.17830173108728,0.669812937608306,2.0728100213185,"1.18 (0.67, 2.07)",0.569127075980501,1.0,Female,0.355,Other Viral,
ACD,Parasitic Infections,272595,5480,267115,5424,264867,56,2248,1.30580005945919,0.998092155326131,1.70837310581453,"1.31 (1.00, 1.71)",0.0516504477880879,1.0,Female,0.149,Parasitic,
ACD,Fungal Infections,281836,5475,276361,4928,254504,547,21857,1.18867732716511,1.08744984792594,1.29932777204509,"1.19 (1.09, 1.30)",0.000141191832910322,0.0869741690727585,Female,0.878,Fungal,*
ACD,Acute Infections,276656,5193,271463,2542,183144,2651,88319,1.59967188901189,1.51354293829488,1.6907020526142,"1.60 (1.51, 1.69)",3.75067561177173e-62,2.31041617685138e-59,Female,0.006,Acute,**
ACD,Chronic Infections,256373,5376,250997,4903,231681,473,19316,1.11819721608866,1.01718300484759,1.22924292689669,"1.12 (1.02, 1.23)",0.0207422188853367,1.0,Female,0.476,Chronic,*
