Characteristics,Predictors,N total,Event,Non-Event,Controls Event,Controls non-Event,Expose Event,Expose non-Event,HR,Lower 95%CI,Upper 95%CI,HR (95%CI),P value,P BFI,Age group,P interaction,Abbreviations,p_star
Depression,All Infectious Diseases,3373,141,3232,65,1809,76,1423,1.46399228455372,1.03585552047036,2.06908527963398,"1.46 (1.04, 2.07)",0.0308074568185099,1.0,71-80,0.98,Any,*
Depression,Bacterial Infections,3445,144,3301,71,2000,73,1301,1.71042276886021,1.21052874821989,2.41675057493472,"1.71 (1.21, 2.42)",0.00234057146962282,1.0,71-80,0.742,Bacterial,*
Depression,Invasive Bacterial Infections,3243,146,3097,109,2392,37,705,1.94962023751061,1.30156525926441,2.92034459544432,"1.95 (1.30, 2.92)",0.0012019261263276,0.740386493817801,71-80,0.021,Invasive,*
Depression,Localised Bacterial Infections,3433,150,3283,85,2162,65,1121,1.6175215828443,1.15064579350802,2.27383273439039,"1.62 (1.15, 2.27)",0.00564856284275654,1.0,71-80,0.885,Localised,*
Depression,Bacterial Infections with Sepsis,2966,152,2814,146,2614,6,200,1.9310538166401,0.826026362389829,4.51434604577484,"1.93 (0.83, 4.51)",0.128804289172262,1.0,71-80,0.615,Sepsis,
Depression,Bacterial Infections without Sepsis,3428,144,3284,71,2003,73,1281,1.72894279327391,1.22351929384369,2.44315165069695,"1.73 (1.22, 2.44)",0.00191291517799818,1.0,71-80,0.779,No-Sepsis,*
Depression,Extracellular Bacterial Infections,3014,151,2863,130,2570,21,293,2.684746962661,1.59609856076516,4.51592804523429,"2.68 (1.60, 4.52)",0.000197494871230731,0.12165684067813,71-80,0.152,Extracellular,*
Depression,Intracellular Bacterial Infections,2741,146,2595,146,2576,0,19,1.0,1.0,1.0,"0.00 (0.00, 0.00)",0.0,0.0,71-80,0.262,Intracellular,**
Depression,Gram Positive Bacterial Infections,2870,152,2718,142,2576,10,142,2.38142608884565,1.17102060672514,4.84294655795571,"2.38 (1.17, 4.84)",0.0165800665415791,1.0,71-80,0.585,Gram Positive,*
Depression,Gram Negative Bacterial Infections,2958,151,2807,137,2598,14,209,2.61083089854388,1.43752189537067,4.74179767469473,"2.61 (1.44, 4.74)",0.00162187280538916,0.999073648119725,71-80,0.175,Gram Negative,*
Depression,Mycobacterial Infections,2736,146,2590,146,2585,0,5,1.0,1.0,1.0,"0.00 (0.00, 0.00)",8.04707473918504e-231,4.95699803933798e-228,71-80,0.262,Mycobacterial,**
Depression,Acute Bacterial Infections,3469,150,3319,74,2029,76,1290,1.75762945012478,1.25388973256184,2.4637423879644,"1.76 (1.25, 2.46)",0.00106401064056887,0.655430554590423,71-80,0.78,Acute Bacterial,*
Depression,Chronic Bacterial Infections,2790,146,2644,144,2571,2,73,0.752238571049483,0.184725857756405,3.06325749219561,"0.75 (0.18, 3.06)",0.691081021539567,1.0,71-80,0.177,Chronic Bacterial,
Depression,Viral Infections,2907,150,2757,134,2375,16,382,0.91199099003856,0.533588524656649,1.55874335274865,"0.91 (0.53, 1.56)",0.736217761359992,1.0,71-80,0.49,Viral,
Depression,Acute Viral Infections,2856,150,2706,137,2448,13,258,1.230411011958,0.685356789703207,2.20893887839517,"1.23 (0.69, 2.21)",0.487370036666535,1.0,71-80,0.957,Acute Viral,
Depression,Herpes Viral Infections,2790,151,2639,146,2491,5,148,0.635813386448292,0.252613299331536,1.60030633168005,"0.64 (0.25, 1.60)",0.33626705176261,1.0,71-80,0.098,Herpes,
Depression,Other Potentially Persistent Viral Infections,2770,152,2618,152,2613,0,5,1.0,1.0,1.0,"0.00 (0.00, 0.00)",1.97066290878401e-173,1.21392835181095e-170,71-80,0.202,Other Viral,**
Depression,Parasitic Infections,2770,151,2619,149,2601,2,18,1.62544588433015,0.459633764615117,5.74821635459744,"1.63 (0.46, 5.75)",0.450976376470253,1.0,71-80,0.299,Parasitic,
Depression,Fungal Infections,2922,152,2770,140,2480,12,290,0.850917058148176,0.458548353602693,1.57902614666218,"0.85 (0.46, 1.58)",0.608793248571106,1.0,71-80,0.153,Fungal,
Depression,Acute Infections,3406,147,3259,69,1920,78,1339,1.67935477861928,1.19648644205276,2.35709521925953,"1.68 (1.20, 2.36)",0.00272597334158262,1.0,71-80,0.942,Acute,*
Depression,Chronic Infections,2808,145,2663,136,2436,9,227,0.807982096583295,0.405214292684747,1.61108598631548,"0.81 (0.41, 1.61)",0.544823274502341,1.0,71-80,0.121,Chronic,
