Characteristics,Predictors,N total,Event,Non-Event,Controls Event,Controls non-Event,Expose Event,Expose non-Event,HR,Lower 95%CI,Upper 95%CI,HR (95%CI),P value,P BFI,Age group,P interaction,Abbreviations,p_star
Stroke,All Infectious Diseases,3479,201,3278,90,1834,111,1444,1.46962882430543,1.10641176757414,1.95208415576133,"1.47 (1.11, 1.95)",0.00785796994562447,1.0,71-80,0.125,Any,*
Stroke,Bacterial Infections,3550,205,3345,102,2024,103,1321,1.60452154525878,1.21112535055561,2.125700191164,"1.60 (1.21, 2.13)",0.000985239206693849,0.606907351323411,71-80,0.136,Bacterial,*
Stroke,Invasive Bacterial Infections,3349,209,3140,152,2436,57,704,2.17013116201539,1.57996699506695,2.98073901230493,"2.17 (1.58, 2.98)",1.71322833054692e-06,0.00105534865161691,71-80,0.03,Invasive,**
Stroke,Localised Bacterial Infections,3537,213,3324,128,2177,85,1147,1.35602229933741,1.02283106692151,1.79775188275681,"1.36 (1.02, 1.80)",0.0342707834773132,1.0,71-80,0.028,Localised,*
Stroke,Bacterial Infections with Sepsis,3060,217,2843,203,2653,14,190,3.30333010944687,1.86573693053436,5.84862186806423,"3.30 (1.87, 5.85)",4.13792785648057e-05,0.0254896355959203,71-80,<0.001,Sepsis,**
Stroke,Bacterial Infections without Sepsis,3535,205,3330,102,2028,103,1302,1.62581964115702,1.22704810975966,2.15418571166675,"1.63 (1.23, 2.15)",0.000711554239648873,0.438317411623706,71-80,0.152,No-Sepsis,*
Stroke,Extracellular Bacterial Infections,3095,216,2879,191,2598,25,281,2.27735447512006,1.48340442215976,3.49624372684444,"2.28 (1.48, 3.50)",0.000167925256046812,0.103441957724836,71-80,0.016,Extracellular,*
Stroke,Intracellular Bacterial Infections,2841,212,2629,210,2609,2,20,1.55626373696882,0.391816923268649,6.1813481633195,"1.56 (0.39, 6.18)",0.529671368310128,1.0,71-80,0.923,Intracellular,
Stroke,Gram Positive Bacterial Infections,2970,217,2753,204,2604,13,149,2.17193313857475,1.21744534895909,3.87474769399088,"2.17 (1.22, 3.87)",0.00863560026026512,1.0,71-80,0.013,Gram Positive,*
Stroke,Gram Negative Bacterial Infections,3039,216,2823,199,2631,17,192,2.41906103255798,1.4655135135402,3.99304150058931,"2.42 (1.47, 3.99)",0.000550958680343277,0.339390547091459,71-80,0.042,Gram Negative,*
Stroke,Mycobacterial Infections,2834,212,2622,212,2616,0,6,1.0,1.0,1.0,"0.00 (0.00, 0.00)",3.39149736480256e-162,2.08916237671838e-159,71-80,0.243,Mycobacterial,**
Stroke,Acute Bacterial Infections,3575,210,3365,104,2053,106,1312,1.68362345824302,1.27579160618216,2.22182677438109,"1.68 (1.28, 2.22)",0.000232324892964912,0.143112134066386,71-80,0.206,Acute Bacterial,*
Stroke,Chronic Bacterial Infections,2888,212,2676,208,2604,4,72,0.84775746520899,0.318072609715169,2.25952407678597,"0.85 (0.32, 2.26)",0.741241888014989,1.0,71-80,0.054,Chronic Bacterial,
Stroke,Viral Infections,3014,214,2800,186,2405,28,395,1.05111840638057,0.701476824046369,1.57503408004111,"1.05 (0.70, 1.58)",0.809080326206011,1.0,71-80,0.487,Viral,
Stroke,Acute Viral Infections,2965,215,2750,196,2478,19,272,1.10963478555624,0.683929968119097,1.80031496602299,"1.11 (0.68, 1.80)",0.673510542226486,1.0,71-80,0.485,Acute Viral,
Stroke,Herpes Viral Infections,2891,214,2677,203,2525,11,152,0.968009665338335,0.525780846502564,1.78219255878479,"0.97 (0.53, 1.78)",0.916847525123757,1.0,71-80,0.635,Herpes,
Stroke,Other Potentially Persistent Viral Infections,2867,217,2650,217,2645,0,5,1.0,1.0,1.0,"0.00 (0.00, 0.00)",1.00425409038001e-108,6.18620519674086e-106,71-80,0.295,Other Viral,**
Stroke,Parasitic Infections,2866,216,2650,216,2630,0,20,1.0,1.0,1.0,"0.00 (0.00, 0.00)",0.0,0.0,71-80,0.09,Parasitic,**
Stroke,Fungal Infections,3026,217,2809,197,2511,20,298,1.00564302455666,0.630984747962408,1.60276123330276,"1.01 (0.63, 1.60)",0.981121944044409,1.0,71-80,0.481,Fungal,
Stroke,Acute Infections,3510,208,3302,98,1942,110,1360,1.61125331119079,1.21938313658693,2.12905784484596,"1.61 (1.22, 2.13)",0.000793665833006146,0.488898153131786,71-80,0.162,Acute,*
Stroke,Chronic Infections,2909,208,2701,193,2469,15,232,0.88869975036084,0.526764836080013,1.49931656822183,"0.89 (0.53, 1.50)",0.658351838224637,1.0,71-80,0.162,Chronic,
