Category,Characteristics,Predictors,N total,N control,N expose,Beta,Lower 95%CI,Upper 95%CI,Beta (95%CI),P value,P BFI,Age group,P interaction,Abbreviations,p_star
Cognition,Trail making 1,All Infectious Diseases,244,120,124,0.00119730936147618,-0.143994280701054,0.146388899424006,"0.00 (-0.14, 0.15)",0.987049288100789,1,40-50,0.009,Any,
Cognition,Trail making 1,Bacterial Infections,244,174,70,0.0173011840349445,-0.139993355279218,0.174595723349107,"0.02 (-0.14, 0.17)",0.828602111698215,1,40-50,0.421,Bacterial,
Cognition,Trail making 1,Invasive Bacterial Infections,244,225,19,-0.0427033140281757,-0.309721078723547,0.224314450667195,"-0.04 (-0.31, 0.22)",0.752942865781043,1,40-50,0.894,Invasive,
Cognition,Trail making 1,Localised Bacterial Infections,244,181,63,0.00617069922269565,-0.157462769150046,0.169804167595437,"0.01 (-0.16, 0.17)",0.94082900978448,1,40-50,0.428,Localised,
Cognition,Trail making 1,Bacterial Infections with Sepsis,244,244,0,0.0,0.0,0.0,/,/,/,40-50,0.943,Sepsis,
Cognition,Trail making 1,Bacterial Infections without Sepsis,244,174,70,0.0173011840349445,-0.139993355279218,0.174595723349107,"0.02 (-0.14, 0.17)",0.828602111698215,1,40-50,0.433,No-Sepsis,
Cognition,Trail making 1,Extracellular Bacterial Infections,244,243,1,-0.403056505363781,-1.54111914508024,0.735006134352681,"-0.40 (-1.54, 0.74)",0.48596335613599,1,40-50,0.199,Extracellular,
Cognition,Trail making 1,Intracellular Bacterial Infections,244,243,1,0.0156045191196086,-1.10738807106311,1.13859710930233,"0.02 (-1.11, 1.14)",0.978179388645553,1,40-50,0.914,Intracellular,
Cognition,Trail making 1,Gram Positive Bacterial Infections,244,243,1,-0.403056505363781,-1.54111914508024,0.735006134352681,"-0.40 (-1.54, 0.74)",0.48596335613599,1,40-50,0.629,Gram Positive,
Cognition,Trail making 1,Gram Negative Bacterial Infections,244,243,1,0.0156045191196086,-1.10738807106311,1.13859710930233,"0.02 (-1.11, 1.14)",0.978179388645553,1,40-50,0.677,Gram Negative,
Cognition,Trail making 1,Mycobacterial Infections,244,244,0,0.0,0.0,0.0,/,/,/,40-50,0.372,Mycobacterial,
Cognition,Trail making 1,Mycoplasma Infections,244,244,0,0.0,0.0,0.0,/,/,/,40-50,0.945,Mycoplasma,
Cognition,Trail making 1,Acute Bacterial Infections,244,178,66,0.0383774749188138,-0.1206362273922,0.197391177229827,"0.04 (-0.12, 0.20)",0.634828257123519,1,40-50,0.453,Acute Bacterial,
Cognition,Trail making 1,Chronic Bacterial Infections,244,239,5,-0.223246218507891,-0.786506061577322,0.340013624561539,"-0.22 (-0.79, 0.34)",0.435607924789204,1,40-50,0.922,Chronic Bacterial,
Cognition,Trail making 1,Viral Infections,244,155,89,0.048376386163756,-0.105291924673922,0.202044697001433,"0.05 (-0.11, 0.20)",0.535652633706796,1,40-50,0.157,Viral,
Cognition,Trail making 1,Acute Viral Infections,244,192,52,0.0896791816046377,-0.088575294507144,0.267933657716419,"0.09 (-0.09, 0.27)",0.322563388662205,1,40-50,0.674,Acute Viral,
Cognition,Trail making 1,Herpes Viral Infections,244,169,75,-0.00882133968500724,-0.170922911059021,0.153280231689006,"-0.01 (-0.17, 0.15)",0.914697875651217,1,40-50,0.257,Herpes,
Cognition,Trail making 1,Other Potentially Persistent Viral Infections,244,243,1,0.0124599289533849,-1.13294268410466,1.15786254201143,"0.01 (-1.13, 1.16)",0.982916694285262,1,40-50,0.565,Other Viral,
Cognition,Trail making 1,Parasitic Infections,244,243,1,0.479946041487735,-0.644684807752966,1.60457689072844,"0.48 (-0.64, 1.60)",0.401265885337727,1,40-50,0.565,Parasitic,
Cognition,Trail making 1,Fungal Infections,244,226,18,0.134870226330059,-0.140054693208798,0.409795145868915,"0.13 (-0.14, 0.41)",0.334731197156107,1,40-50,0.931,Fungal,
Cognition,Trail making 1,Acute Infections,244,151,93,0.0248582645750799,-0.121965438903131,0.171681968053291,"0.02 (-0.12, 0.17)",0.738969523670706,1,40-50,0.333,Acute,
Cognition,Trail making 1,Chronic Infections,244,165,79,-0.030785999454392,-0.189335596617961,0.127763597709177,"-0.03 (-0.19, 0.13)",0.702355647218217,1,40-50,0.276,Chronic,
