Category,Characteristics,Predictors,N total,N control,N expose,Beta,Lower 95%CI,Upper 95%CI,Beta (95%CI),P value,P BFI,Age group,P interaction,Abbreviations,p_star
Cognition,Trail making 2,All Infectious Diseases,244,120,124,0.0319311633599362,-0.0839430651693808,0.147805391889253,"0.03 (-0.08, 0.15)",0.587651432192535,1,40-50,0.506,Any,
Cognition,Trail making 2,Bacterial Infections,244,174,70,0.00183592995334564,-0.123792437444902,0.127464297351593,"0.00 (-0.12, 0.13)",0.977051409081061,1,40-50,0.709,Bacterial,
Cognition,Trail making 2,Invasive Bacterial Infections,244,225,19,-0.0819185635445163,-0.294934449717327,0.131097322628294,"-0.08 (-0.29, 0.13)",0.449357255406654,1,40-50,0.767,Invasive,
Cognition,Trail making 2,Localised Bacterial Infections,244,181,63,-0.00387119612646679,-0.134549567135575,0.126807174882641,"-0.00 (-0.13, 0.13)",0.953501206045566,1,40-50,0.609,Localised,
Cognition,Trail making 2,Bacterial Infections with Sepsis,244,244,0,0.0,0.0,0.0,/,/,/,40-50,0.394,Sepsis,
Cognition,Trail making 2,Bacterial Infections without Sepsis,244,174,70,0.00183592995334564,-0.123792437444902,0.127464297351593,"0.00 (-0.12, 0.13)",0.977051409081061,1,40-50,0.691,No-Sepsis,
Cognition,Trail making 2,Extracellular Bacterial Infections,244,243,1,-0.255150771972962,-1.16437359472404,0.654072050778116,"-0.26 (-1.16, 0.65)",0.580819527475285,1,40-50,0.805,Extracellular,
Cognition,Trail making 2,Intracellular Bacterial Infections,244,243,1,-0.206592437171783,-1.10300552737695,0.689820653033386,"-0.21 (-1.10, 0.69)",0.65016066501645,1,40-50,0.592,Intracellular,
Cognition,Trail making 2,Gram Positive Bacterial Infections,244,243,1,-0.255150771972962,-1.16437359472404,0.654072050778116,"-0.26 (-1.16, 0.65)",0.580819527475285,1,40-50,0.762,Gram Positive,
Cognition,Trail making 2,Gram Negative Bacterial Infections,244,243,1,-0.206592437171783,-1.10300552737695,0.689820653033386,"-0.21 (-1.10, 0.69)",0.65016066501645,1,40-50,0.835,Gram Negative,
Cognition,Trail making 2,Mycobacterial Infections,244,244,0,0.0,0.0,0.0,/,/,/,40-50,0.838,Mycobacterial,
Cognition,Trail making 2,Mycoplasma Infections,244,244,0,0.0,0.0,0.0,/,/,/,40-50,0.638,Mycoplasma,
Cognition,Trail making 2,Acute Bacterial Infections,244,178,66,-0.000666010221129658,-0.127718202654797,0.126386182212538,"-0.00 (-0.13, 0.13)",0.991767364327356,1,40-50,0.727,Acute Bacterial,
Cognition,Trail making 2,Chronic Bacterial Infections,244,239,5,-0.00761812904797055,-0.458045910932185,0.442809652836244,"-0.01 (-0.46, 0.44)",0.973442308151377,1,40-50,0.964,Chronic Bacterial,
Cognition,Trail making 2,Viral Infections,244,155,89,0.0676943350444414,-0.0548077748537498,0.190196444942633,"0.07 (-0.05, 0.19)",0.277350584922841,1,40-50,0.667,Viral,
Cognition,Trail making 2,Acute Viral Infections,244,192,52,0.0013046971940391,-0.141359875304214,0.143969269692292,"0.00 (-0.14, 0.14)",0.985637901478523,1,40-50,0.776,Acute Viral,
Cognition,Trail making 2,Herpes Viral Infections,244,169,75,0.0729994779522595,-0.056102519160356,0.202101475064875,"0.07 (-0.06, 0.20)",0.266366745941977,1,40-50,0.755,Herpes,
Cognition,Trail making 2,Other Potentially Persistent Viral Infections,244,243,1,0.0256391732299682,-0.889074570371365,0.940352916831301,"0.03 (-0.89, 0.94)",0.956000780354739,1,40-50,0.121,Other Viral,
Cognition,Trail making 2,Parasitic Infections,244,243,1,-0.0332290068761723,-0.932759452259959,0.866301438507615,"-0.03 (-0.93, 0.87)",0.942035204555678,1,40-50,0.976,Parasitic,
Cognition,Trail making 2,Fungal Infections,244,226,18,0.00370908468029175,-0.216301008861192,0.223719178221775,"0.00 (-0.22, 0.22)",0.973527690408286,1,40-50,0.836,Fungal,
Cognition,Trail making 2,Acute Infections,244,151,93,-0.00862514706826083,-0.125902144499268,0.108651850362747,"-0.01 (-0.13, 0.11)",0.88489962075457,1,40-50,0.525,Acute,
Cognition,Trail making 2,Chronic Infections,244,165,79,0.0684512933277598,-0.0578880423734396,0.194790629028959,"0.07 (-0.06, 0.19)",0.286817529759058,1,40-50,0.749,Chronic,
