Characteristics,Predictors,N total,N control,N expose,Beta,Lower 95%CI,Upper 95%CI,Beta (95%CI),P value,P FDR,Sex group,P interaction,Atlas,Description,Abbreviations,p_star
L_bankssts,Acute Viral Infections,38951,24799,14152,-0.0324162152836288,-0.054001019372731,-0.0108314111945265,"-0.03 (-0.05, -0.01)",0.0032463184976761,0.00408734347045469,Male,0.914,Cortical,Volume of bankssts (left hemisphere),Acute Viral,**
L_caudalanteriorcingulate,Acute Viral Infections,38951,24799,14152,-0.0176528064951479,-0.0391988911586941,0.0038932781683984,"-0.02 (-0.04, 0.00)",0.108313344124795,0.116645139826703,Male,0.395,Cortical,Volume of caudalanteriorcingulate (left hemisphere),Acute Viral,
L_caudalmiddlefrontal,Acute Viral Infections,38951,24799,14152,-0.0344431860844561,-0.0556057227652609,-0.0132806494036513,"-0.03 (-0.06, -0.01)",0.00142361992371645,0.00188321375735719,Male,0.339,Cortical,Volume of caudalmiddlefrontal (left hemisphere),Acute Viral,**
L_cuneus,Acute Viral Infections,38951,24799,14152,-0.0295854803844258,-0.0506515133295242,-0.00851944743932734,"-0.03 (-0.05, -0.01)",0.0059135033813384,0.00719904759467283,Male,0.176,Cortical,Volume of cuneus (left hemisphere),Acute Viral,**
L_entorhinal,Acute Viral Infections,38951,24799,14152,-0.0396575137706445,-0.0615339397922305,-0.0177810877490584,"-0.04 (-0.06, -0.02)",0.000381130981748201,0.000556782651597373,Male,0.312,Cortical,Volume of entorhinal (left hemisphere),Acute Viral,**
L_frontalpole,Acute Viral Infections,38951,24799,14152,-0.0264725252773101,-0.0475930353327277,-0.00535201522189264,"-0.03 (-0.05, -0.01)",0.0140262080712851,0.0158147849394355,Male,0.138,Cortical,Volume of frontalpole (left hemisphere),Acute Viral,**
L_fusiform,Acute Viral Infections,38951,24799,14152,-0.0585917855205015,-0.0788361475397384,-0.0383474235012646,"-0.06 (-0.08, -0.04)",1.41511653236592e-08,8.19791646336117e-08,Male,0.29,Cortical,Volume of fusiform (left hemisphere),Acute Viral,**
L_inferiorparietal,Acute Viral Infections,38951,24799,14152,-0.0449315588268455,-0.0656415850290951,-0.0242215326245959,"-0.04 (-0.07, -0.02)",2.11999902376278e-05,4.09379121830054e-05,Male,0.561,Cortical,Volume of inferiorparietal (left hemisphere),Acute Viral,**
L_inferiortemporal,Acute Viral Infections,38951,24799,14152,-0.0334531029848316,-0.0533921072836442,-0.0135140986860189,"-0.03 (-0.05, -0.01)",0.00100821055694345,0.00138835552103689,Male,0.36,Cortical,Volume of inferiortemporal (left hemisphere),Acute Viral,**
L_insula,Acute Viral Infections,38344,24449,13895,-0.0408174804898047,-0.0608452214142207,-0.0207897395653887,"-0.04 (-0.06, -0.02)",6.49175920493219e-05,0.00011128730065598,Male,0.518,Cortical,Volume of grey matter in Insular Cortex (left),Acute Viral,**
L_isthmuscingulate,Acute Viral Infections,38951,24799,14152,-0.0348002930685872,-0.0550561324143536,-0.0145444537228209,"-0.03 (-0.06, -0.01)",0.000759549619003466,0.00108139267790324,Male,0.664,Cortical,Volume of isthmuscingulate (left hemisphere),Acute Viral,**
L_lateraloccipital,Acute Viral Infections,38951,24799,14152,-0.0494998461944905,-0.0692665060107375,-0.0297331863782435,"-0.05 (-0.07, -0.03)",9.223461542339e-07,2.81734825293264e-06,Male,0.062,Cortical,Volume of lateraloccipital (left hemisphere),Acute Viral,**
L_lateralorbitofrontal,Acute Viral Infections,38951,24799,14152,-0.0570663413904841,-0.076689508211502,-0.0374431745694663,"-0.06 (-0.08, -0.04)",1.20693141417584e-08,7.24158848505503e-08,Male,0.443,Cortical,Volume of lateralorbitofrontal (left hemisphere),Acute Viral,**
L_lingual,Acute Viral Infections,38951,24799,14152,-0.0355558256232699,-0.0566985292734353,-0.0144131219731045,"-0.04 (-0.06, -0.01)",0.000980944028064463,0.00136197187367628,Male,0.342,Cortical,Volume of lingual (left hemisphere),Acute Viral,**
L_medialorbitofrontal,Acute Viral Infections,38951,24799,14152,-0.0434330417078543,-0.0633988253424614,-0.0234672580732472,"-0.04 (-0.06, -0.02)",2.01464272353145e-05,3.9355811343405e-05,Male,0.681,Cortical,Volume of medialorbitofrontal (left hemisphere),Acute Viral,**
L_middletemporal,Acute Viral Infections,38951,24799,14152,-0.0431008000569768,-0.0628714701282744,-0.0233301299856793,"-0.04 (-0.06, -0.02)",1.93380844287326e-05,3.84127681066941e-05,Male,0.83,Cortical,Volume of middletemporal (left hemisphere),Acute Viral,**
L_paracentral,Acute Viral Infections,38951,24799,14152,-0.0423373017320441,-0.0634091020097374,-0.0212655014543509,"-0.04 (-0.06, -0.02)",8.22835385061252e-05,0.000139632671404334,Male,0.574,Cortical,Volume of paracentral (left hemisphere),Acute Viral,**
L_parahippocampal,Acute Viral Infections,38950,24798,14152,-0.0510012976540491,-0.07240953911342,-0.0295930561946782,"-0.05 (-0.07, -0.03)",3.03075504337563e-06,7.37922967082762e-06,Male,0.452,Cortical,Volume of parahippocampal (left hemisphere),Acute Viral,**
L_parsopercularis,Acute Viral Infections,38951,24799,14152,-0.0289422680082757,-0.0505417781405483,-0.00734275787600307,"-0.03 (-0.05, -0.01)",0.00863434047572265,0.0102877248221376,Male,0.377,Cortical,Volume of parsopercularis (left hemisphere),Acute Viral,**
L_parsorbitalis,Acute Viral Infections,38951,24799,14152,-0.0585167072969164,-0.0789556509569147,-0.0380777636369181,"-0.06 (-0.08, -0.04)",2.01880192987314e-08,1.09406040070545e-07,Male,0.303,Cortical,Volume of parsorbitalis (left hemisphere),Acute Viral,**
L_parstriangularis,Acute Viral Infections,38951,24799,14152,-0.0367677270084468,-0.0577915199015959,-0.0157439341152977,"-0.04 (-0.06, -0.02)",0.000609090340784869,0.000882130838378086,Male,0.822,Cortical,Volume of parstriangularis (left hemisphere),Acute Viral,**
L_pericalcarine,Acute Viral Infections,38951,24799,14152,-0.0136741343407101,-0.0349043380849665,0.00755606940354622,"-0.01 (-0.03, 0.01)",0.206801696525135,0.215793074634923,Male,0.724,Cortical,Volume of pericalcarine (left hemisphere),Acute Viral,
L_postcentral,Acute Viral Infections,38951,24799,14152,-0.0442327299151924,-0.0647052777407245,-0.0237601820896604,"-0.04 (-0.06, -0.02)",2.29274400620527e-05,4.27978881158317e-05,Male,0.061,Cortical,Volume of postcentral (left hemisphere),Acute Viral,**
L_posteriorcingulate,Acute Viral Infections,38951,24799,14152,-0.0285702823057957,-0.0492421650721475,-0.00789839953944387,"-0.03 (-0.05, -0.01)",0.00675322382454472,0.00810386858945366,Male,0.852,Cortical,Volume of posteriorcingulate (left hemisphere),Acute Viral,**
