Characteristics,Predictors,N total,N control,N expose,Beta,Lower 95%CI,Upper 95%CI,Beta (95%CI),P value,P FDR,Sex group,P interaction,Atlas,Description,Abbreviations,p_star
L_bankssts,Viral Infections,38951,20685,18266,-0.0312712325233666,-0.0520784105683158,-0.0104640544784174,"-0.03 (-0.05, -0.01)",0.00322380870180457,0.00373517146140116,Male,0.858,Cortical,Volume of bankssts (left hemisphere),Viral,**
L_caudalanteriorcingulate,Viral Infections,38951,20685,18266,-0.0157272800432295,-0.0364972372756191,0.00504267718916018,"-0.02 (-0.04, 0.01)",0.137775582273082,0.142001827128084,Male,0.784,Cortical,Volume of caudalanteriorcingulate (left hemisphere),Viral,
L_caudalmiddlefrontal,Viral Infections,38951,20685,18266,-0.037812831034248,-0.058212165966976,-0.01741349610152,"-0.04 (-0.06, -0.02)",0.00028032873026042,0.000354099448750005,Male,0.141,Cortical,Volume of caudalmiddlefrontal (left hemisphere),Viral,**
L_cuneus,Viral Infections,38951,20685,18266,-0.022940920893355,-0.0432487181093297,-0.00263312367738019,"-0.02 (-0.04, -0.00)",0.0268233276240635,0.0292618119535238,Male,0.382,Cortical,Volume of cuneus (left hemisphere),Viral,**
L_entorhinal,Viral Infections,38951,20685,18266,-0.034216534484012,-0.0553055117907092,-0.0131275571773147,"-0.03 (-0.06, -0.01)",0.00147334655558287,0.00176801586669945,Male,0.047,Cortical,Volume of entorhinal (left hemisphere),Viral,**
L_frontalpole,Viral Infections,38951,20685,18266,-0.0313741502081728,-0.0517329571666778,-0.0110153432496677,"-0.03 (-0.05, -0.01)",0.00252507445495884,0.00298741203121891,Male,0.007,Cortical,Volume of frontalpole (left hemisphere),Viral,**
L_fusiform,Viral Infections,38951,20685,18266,-0.062299902056951,-0.0818131852119215,-0.0427866189019805,"-0.06 (-0.08, -0.04)",3.94615124431039e-10,1.32590681808829e-09,Male,0.446,Cortical,Volume of fusiform (left hemisphere),Viral,**
L_inferiorparietal,Viral Infections,38951,20685,18266,-0.0529384527254875,-0.0729000816070662,-0.0329768238439088,"-0.05 (-0.07, -0.03)",2.02451841818806e-07,3.95487318901853e-07,Male,0.248,Cortical,Volume of inferiorparietal (left hemisphere),Viral,**
L_inferiortemporal,Viral Infections,38951,20685,18266,-0.0426103790141432,-0.061829061608441,-0.0233916964198455,"-0.04 (-0.06, -0.02)",1.39223918816246e-05,2.051720908871e-05,Male,0.256,Cortical,Volume of inferiortemporal (left hemisphere),Viral,**
L_insula,Viral Infections,38344,20440,17904,-0.035199136976508,-0.0544997766814093,-0.0158984972716067,"-0.04 (-0.05, -0.02)",0.000351253462953572,0.000440377475941792,Male,0.41,Cortical,Volume of grey matter in Insular Cortex (left),Viral,**
L_isthmuscingulate,Viral Infections,38951,20685,18266,-0.0373134864797888,-0.0568389065181423,-0.0177880664414354,"-0.04 (-0.06, -0.02)",0.000180187506081113,0.000232857700166361,Male,0.106,Cortical,Volume of isthmuscingulate (left hemisphere),Viral,**
L_lateraloccipital,Viral Infections,38951,20685,18266,-0.0547065685043604,-0.0737592529965864,-0.0356538840121344,"-0.05 (-0.07, -0.04)",1.83689166197251e-08,4.53820292957915e-08,Male,0.173,Cortical,Volume of lateraloccipital (left hemisphere),Viral,**
L_lateralorbitofrontal,Viral Infections,38951,20685,18266,-0.0557735625642551,-0.0746895569452651,-0.0368575681832451,"-0.06 (-0.07, -0.04)",7.56693117797411e-09,2.01784831412643e-08,Male,0.317,Cortical,Volume of lateralorbitofrontal (left hemisphere),Viral,**
L_lingual,Viral Infections,38951,20685,18266,-0.0396847266185683,-0.0600647663081326,-0.019304686929004,"-0.04 (-0.06, -0.02)",0.000135496487262527,0.000180661983016703,Male,0.511,Cortical,Volume of lingual (left hemisphere),Viral,**
L_medialorbitofrontal,Viral Infections,38951,20685,18266,-0.0439109632273406,-0.0631570025090112,-0.0246649239456701,"-0.04 (-0.06, -0.02)",7.77424268063787e-06,1.16613640209568e-05,Male,0.506,Cortical,Volume of medialorbitofrontal (left hemisphere),Viral,**
L_middletemporal,Viral Infections,38951,20685,18266,-0.0508482298510286,-0.0699044093286857,-0.0317920503733715,"-0.05 (-0.07, -0.03)",1.70385988551485e-07,3.44877663574091e-07,Male,0.644,Cortical,Volume of middletemporal (left hemisphere),Viral,**
L_paracentral,Viral Infections,38951,20685,18266,-0.0399250496483092,-0.0602378828875859,-0.0196122164090325,"-0.04 (-0.06, -0.02)",0.000117131110514765,0.000158693762632908,Male,0.435,Cortical,Volume of paracentral (left hemisphere),Viral,**
L_parahippocampal,Viral Infections,38950,20684,18266,-0.0525431467253896,-0.0731793655800034,-0.0319069278707757,"-0.05 (-0.07, -0.03)",6.04699522593209e-07,1.08073957229425e-06,Male,0.507,Cortical,Volume of parahippocampal (left hemisphere),Viral,**
L_parsopercularis,Viral Infections,38951,20685,18266,-0.0312979816029805,-0.0521188625690173,-0.0104771006369438,"-0.03 (-0.05, -0.01)",0.00321777687454378,0.00373517146140116,Male,0.526,Cortical,Volume of parsopercularis (left hemisphere),Viral,**
L_parsorbitalis,Viral Infections,38951,20685,18266,-0.0634233542062584,-0.08312385138035,-0.0437228570321667,"-0.06 (-0.08, -0.04)",2.81918664281335e-10,1.02961599128836e-09,Male,0.07,Cortical,Volume of parsorbitalis (left hemisphere),Viral,**
L_parstriangularis,Viral Infections,38951,20685,18266,-0.0350600806129014,-0.0553265278035195,-0.0147936334222833,"-0.04 (-0.06, -0.01)",0.000697686612601338,0.000855557305963685,Male,0.804,Cortical,Volume of parstriangularis (left hemisphere),Viral,**
L_pericalcarine,Viral Infections,38951,20685,18266,-0.0100843399239874,-0.0305498696991628,0.0103811898511879,"-0.01 (-0.03, 0.01)",0.334151517606994,0.340226999745303,Male,0.315,Cortical,Volume of pericalcarine (left hemisphere),Viral,
L_postcentral,Viral Infections,38951,20685,18266,-0.0478465899501365,-0.067580407681381,-0.028112772218892,"-0.05 (-0.07, -0.03)",2.01858715712894e-06,3.33351234468334e-06,Male,0.106,Cortical,Volume of postcentral (left hemisphere),Viral,**
L_posteriorcingulate,Viral Infections,38951,20685,18266,-0.0300670982636098,-0.0499938873341623,-0.0101403091930574,"-0.03 (-0.05, -0.01)",0.00310392449316544,0.00364656863532723,Male,0.579,Cortical,Volume of posteriorcingulate (left hemisphere),Viral,**
L_precentral,Viral Infections,38951,20685,18266,-0.0635398344439038,-0.0829263726112862,-0.0441532962765214,"-0.06 (-0.08, -0.04)",1.34243656168843e-10,5.36974624675374e-10,Male,0.121,Cortical,Volume of precentral (left hemisphere),Viral,**
L_precuneus,Viral Infections,38951,20685,18266,-0.0544733801333653,-0.074019666543332,-0.0349270937233986,"-0.05 (-0.07, -0.03)",4.72672104650125e-08,1.10290157751696e-07,Male,0.166,Cortical,Volume of precuneus (left hemisphere),Viral,**
L_rostralanteriorcingulate,Viral Infections,38951,20685,18266,-0.0353401621915867,-0.0548714498920171,-0.0158088744911564,"-0.04 (-0.05, -0.02)",0.000390851641841962,0.00048639315429222,Male,0.345,Cortical,Volume of rostralanteriorcingulate (left hemisphere),Viral,**
L_rostralmiddlefrontal,Viral Infections,38951,20685,18266,-0.051509722111837,-0.0706459652717208,-0.0323734789519532,"-0.05 (-0.07, -0.03)",1.32832906451494e-07,2.78949103548137e-07,Male,0.403,Cortical,Volume of rostralmiddlefrontal (left hemisphere),Viral,**
L_superiorfrontal,Viral Infections,38951,20685,18266,-0.0590088861892845,-0.0781019341781312,-0.0399158382004378,"-0.06 (-0.08, -0.04)",1.3939334531478799e-09,4.18180035944364e-09,Male,0.336,Cortical,Volume of superiorfrontal (left hemisphere),Viral,**
