Characteristics,Predictors,N total,N control,N expose,Beta,Lower 95%CI,Upper 95%CI,Beta (95%CI),P value,P FDR,Sex group,P interaction,Atlas,Description,Abbreviations,p_star
R_parsorbitalis,Fungal Infections,38951,35385,3566,-0.00960315764960324,-0.0437208589251753,0.0245145436259688,"-0.01 (-0.04, 0.02)",0.581163252504718,0.860658553720845,Male,0.216,Cortical,Volume of parsorbitalis (right hemisphere),Fungal,
R_parstriangularis,Fungal Infections,38951,35385,3566,0.0299676380141238,-0.00501875405403304,0.0649540300822807,"0.03 (-0.01, 0.06)",0.0931870051295702,0.582466739752981,Male,0.819,Cortical,Volume of parstriangularis (right hemisphere),Fungal,
R_pericalcarine,Fungal Infections,38951,35385,3566,0.0228234692657617,-0.0125121961717476,0.0581591347032709,"0.02 (-0.01, 0.06)",0.205524547622575,0.608404752991615,Male,0.145,Cortical,Volume of pericalcarine (right hemisphere),Fungal,
R_postcentral,Fungal Infections,38951,35385,3566,0.0246941617192604,-0.00959332849276265,0.0589816519312835,"0.02 (-0.01, 0.06)",0.158067591712369,0.599378466820887,Male,0.13,Cortical,Volume of postcentral (right hemisphere),Fungal,
R_posteriorcingulate,Fungal Infections,38951,35385,3566,0.0392091692723467,0.00426826808563327,0.07415007045906,"0.04 (0.00, 0.07)",0.0278514239258832,0.467347900125565,Male,0.244,Cortical,Volume of posteriorcingulate (right hemisphere),Fungal,*
R_precentral,Fungal Infections,38951,35385,3566,0.0131118585504372,-0.0206206842817509,0.0468444013826253,"0.01 (-0.02, 0.05)",0.446146510134881,0.792629583597481,Male,0.071,Cortical,Volume of precentral (right hemisphere),Fungal,
R_precuneus,Fungal Infections,38951,35385,3566,0.0333195110331191,-0.000128836436102397,0.0667678585023406,"0.03 (-0.00, 0.07)",0.0508889583115652,0.518522887758145,Male,0.126,Cortical,Volume of precuneus (right hemisphere),Fungal,
R_rostralanteriorcingulate,Fungal Infections,38951,35385,3566,-0.0157159166346352,-0.0503032519874465,0.018871418718176,"-0.02 (-0.05, 0.02)",0.373147636836892,0.743373337452057,Male,0.144,Cortical,Volume of rostralanteriorcingulate (right hemisphere),Fungal,
R_rostralmiddlefrontal,Fungal Infections,38951,35385,3566,0.0326150429256204,-0.000306130495045888,0.0655362163462868,"0.03 (-0.00, 0.07)",0.0521686594978579,0.518522887758145,Male,0.149,Cortical,Volume of rostralmiddlefrontal (right hemisphere),Fungal,
R_superiorfrontal,Fungal Infections,38951,35385,3566,0.0307014634635213,-0.00253096904234207,0.0639338959693847,"0.03 (-0.00, 0.06)",0.0701872348260452,0.532864408229612,Male,0.162,Cortical,Volume of superiorfrontal (right hemisphere),Fungal,
R_superiorparietal,Fungal Infections,38951,35385,3566,0.0218059705742049,-0.0123005313926271,0.055912472541037,"0.02 (-0.01, 0.06)",0.210162032724331,0.608745198235994,Male,0.23,Cortical,Volume of superiorparietal (right hemisphere),Fungal,
R_superiortemporal,Fungal Infections,38951,35385,3566,0.0116755016477058,-0.0220682485971615,0.0454192518925731,"0.01 (-0.02, 0.05)",0.497662774277632,0.811721806588759,Male,0.115,Cortical,Volume of superiortemporal (right hemisphere),Fungal,
R_supramarginal,Fungal Infections,38951,35385,3566,0.0323876873725845,-0.00198970925897592,0.066765084004145,"0.03 (-0.00, 0.07)",0.0648153609697681,0.518522887758145,Male,0.208,Cortical,Volume of supramarginal (right hemisphere),Fungal,
R_temporalpole,Fungal Infections,38344,34838,3506,0.0216535549473421,-0.0119373207770496,0.0552444306717338,"0.02 (-0.01, 0.06)",0.206423041193584,0.608404752991615,Male,0.243,Cortical,Volume of grey matter in Temporal Pole (right),Fungal,
R_transversetemporal,Fungal Infections,38951,35385,3566,0.0189216946385395,-0.0167799953284083,0.0546233846054873,"0.02 (-0.02, 0.05)",0.298903203426333,0.717632324603623,Male,0.031,Cortical,Volume of transversetemporal (right hemisphere),Fungal,
Raccumb,Fungal Infections,38337,34831,3506,-0.0115983584590338,-0.0476496979576145,0.0244529810395468,"-0.01 (-0.05, 0.02)",0.528322037379833,0.81429451632855,Male,0.066,SubCortical,Volume of accumbens (right),Fungal,
Ramyg,Fungal Infections,38337,34831,3506,0.00704806477037872,-0.029464716282153,0.0435608458229105,"0.01 (-0.03, 0.04)",0.705177203237686,0.929449732318578,Male,0.447,SubCortical,Volume of amygdala (right),Fungal,
Rcaud,Fungal Infections,38337,34831,3506,-0.0142908198382966,-0.0489857078145895,0.0204040681379964,"-0.01 (-0.05, 0.02)",0.419478855014154,0.792629583597481,Male,0.652,SubCortical,Volume of caudate (right),Fungal,
Rhippo,Fungal Infections,38337,34831,3506,0.0190736225183073,-0.0173552894292883,0.055502534465903,"0.02 (-0.02, 0.06)",0.304785111564163,0.717632324603623,Male,0.122,SubCortical,Volume of hippocampus (right),Fungal,
RLatVent,Fungal Infections,38951,35385,3566,-0.0390436463680696,-0.0761247871920037,-0.00196250554413546,"-0.04 (-0.08, -0.00)",0.0390472303853474,0.504610361902951,Male,0.341,SubCortical,Volume of Lateral-Ventricle (right hemisphere),Fungal,*
Rpal,Fungal Infections,38337,34831,3506,-0.00383227737888686,-0.0381472313730026,0.0304826766152289,"-0.00 (-0.04, 0.03)",0.826733210537647,0.933940611572355,Male,0.875,SubCortical,Volume of pallidum (right),Fungal,
Rput,Fungal Infections,38337,34831,3506,0.0174886087154419,-0.0162519907475229,0.0512292081784066,"0.02 (-0.02, 0.05)",0.309668589300768,0.717632324603623,Male,0.175,SubCortical,Volume of putamen (right),Fungal,
Rthal,Fungal Infections,38337,34831,3506,0.0145429380429892,-0.0181636879826697,0.0472495640686481,"0.01 (-0.02, 0.05)",0.383474808874654,0.749113580127231,Male,0.373,SubCortical,Volume of thalamus (right),Fungal,
