Characteristics,Predictors,N total,N control,N expose,Beta,Lower 95%CI,Upper 95%CI,Beta (95%CI),P value,P FDR,Sex group,P interaction,Atlas,Description,Abbreviations,p_star
L_bankssts,Chronic Bacterial Infections,38951,38053,898,0.00824795372443062,-0.0608371349263463,0.0773330423752075,"0.01 (-0.06, 0.08)",0.814983016716594,0.906736071578727,Male,0.847,Cortical,Volume of bankssts (left hemisphere),Chronic Bacterial,
L_caudalanteriorcingulate,Chronic Bacterial Infections,38951,38053,898,-0.01192126373767,-0.0808769835258396,0.0570344560504995,"-0.01 (-0.08, 0.06)",0.734720972796838,0.869247348097667,Male,0.938,Cortical,Volume of caudalanteriorcingulate (left hemisphere),Chronic Bacterial,
L_caudalmiddlefrontal,Chronic Bacterial Infections,38951,38053,898,-0.0198489666150499,-0.0875836066210128,0.047885673390913,"-0.02 (-0.09, 0.05)",0.565723524661155,0.77269554587865,Male,0.767,Cortical,Volume of caudalmiddlefrontal (left hemisphere),Chronic Bacterial,
L_cuneus,Chronic Bacterial Infections,38951,38053,898,-0.0491062864370265,-0.116528319274148,0.0183157464000953,"-0.05 (-0.12, 0.02)",0.153424223868731,0.505397443332291,Male,0.074,Cortical,Volume of cuneus (left hemisphere),Chronic Bacterial,
L_entorhinal,Chronic Bacterial Infections,38951,38053,898,-0.0117639769286143,-0.0817859528616966,0.058257999004468,"-0.01 (-0.08, 0.06)",0.741936638400315,0.871645840917852,Male,0.485,Cortical,Volume of entorhinal (left hemisphere),Chronic Bacterial,
L_frontalpole,Chronic Bacterial Infections,38951,38053,898,-0.0143774325876133,-0.0819740998444215,0.0532192346691949,"-0.01 (-0.08, 0.05)",0.676763855541877,0.836002409787025,Male,0.544,Cortical,Volume of frontalpole (left hemisphere),Chronic Bacterial,
L_fusiform,Chronic Bacterial Infections,38951,38053,898,-0.0625740215713452,-0.127385469557017,0.00223742641432702,"-0.06 (-0.13, 0.00)",0.0584503411050726,0.362428345302039,Male,0.96,Cortical,Volume of fusiform (left hemisphere),Chronic Bacterial,
L_inferiorparietal,Chronic Bacterial Infections,38951,38053,898,-0.0582646741922069,-0.124555452948922,0.00802610456450767,"-0.06 (-0.12, 0.01)",0.0849477599806718,0.418670996950497,Male,0.538,Cortical,Volume of inferiorparietal (left hemisphere),Chronic Bacterial,
L_inferiortemporal,Chronic Bacterial Infections,38951,38053,898,-0.0482311551046877,-0.112048646322921,0.0155863361135453,"-0.05 (-0.11, 0.02)",0.138528830897078,0.475084153343654,Male,0.203,Cortical,Volume of inferiortemporal (left hemisphere),Chronic Bacterial,
L_insula,Chronic Bacterial Infections,38344,37470,874,-0.0309231204686414,-0.0953590813295425,0.0335128403922597,"-0.03 (-0.10, 0.03)",0.34690266919449,0.663479085789168,Male,0.909,Cortical,Volume of grey matter in Insular Cortex (left),Chronic Bacterial,
L_isthmuscingulate,Chronic Bacterial Infections,38951,38053,898,-0.00540947501125699,-0.0702432817793094,0.0594243317567954,"-0.01 (-0.07, 0.06)",0.870096740520468,0.928864660560757,Male,0.134,Cortical,Volume of isthmuscingulate (left hemisphere),Chronic Bacterial,
L_lateraloccipital,Chronic Bacterial Infections,38951,38053,898,-0.0762095397574127,-0.139483457691085,-0.0129356218237399,"-0.08 (-0.14, -0.01)",0.018243935242069,0.362428345302039,Male,0.256,Cortical,Volume of lateraloccipital (left hemisphere),Chronic Bacterial,*
